scenario_id,model,mask_type,mask_seed,stations,variables,protocol,horizon_bin,horizon_order,minimum_horizon_days,maximum_horizon_days,hidden_cells,MAE,RMSE,climatology_MAE,skill
PNT-B1-T-SYNC-P30-test-R0103,climatology,point,103,B1,T,online_causal,8-30,4,8,8,1,0.09999990463256836,0.09999990463256836,0.09999990463256836,0.0
PNT-B1-T-SYNC-P30-test-R0103,persistence,point,103,B1,T,online_causal,1,1,1,1,232,0.26422415262666243,0.36806812420539486,0.7778016863198116,0.660293674758092
PNT-B1-T-SYNC-P30-test-R0103,persistence,point,103,B1,T,online_causal,2-3,2,2,3,89,0.39887640717324246,0.5355874668253507,0.7646066981754945,0.47832472809217885
PNT-B1-T-SYNC-P30-test-R0103,persistence,point,103,B1,T,online_causal,4-7,3,4,7,7,0.4857140949794224,0.607100562858527,0.24285718372889928,-0.9999988780304048
PNT-B1-T-SYNC-P30-test-R0103,persistence,point,103,B1,T,online_causal,8-30,4,8,8,1,0.5999999046325684,0.5999999046325684,0.09999990463256836,-5.0000047683761295
PNT-B1-T-SYNC-P30-test-R0103,causal_gru,point,103,B1,T,online_causal,1,1,1,1,232,0.9095734429770502,1.123117180336845,0.7778016863198116,-0.16941562222720297
PNT-B1-T-SYNC-P30-test-R0103,causal_gru,point,103,B1,T,online_causal,2-3,2,2,3,89,0.8604483765162779,1.0351031380885043,0.7646066981754945,-0.12534768341616798
PNT-B1-T-SYNC-P30-test-R0103,causal_gru,point,103,B1,T,online_causal,4-7,3,4,7,7,0.8856398718697684,1.002162462548367,0.24285718372889928,-2.6467517998496
PNT-B1-T-SYNC-P30-test-R0103,causal_gru,point,103,B1,T,online_causal,8-30,4,8,8,1,0.7616219520568848,0.7616219520568848,0.09999990463256836,-6.616226783968719
PNT-B1-T-SYNC-P30-test-R0104,climatology,point,104,B1,T,online_causal,1,1,1,1,232,0.8482758233259464,1.0756413112628822,0.8482758233259464,0.0
PNT-B1-T-SYNC-P30-test-R0104,climatology,point,104,B1,T,online_causal,2-3,2,2,3,87,0.7022988385167616,0.918707214320964,0.7022988385167616,0.0
PNT-B1-T-SYNC-P30-test-R0104,climatology,point,104,B1,T,online_causal,4-7,3,4,6,10,0.8449999094009399,1.2838418807344856,0.8449999094009399,0.0
PNT-B1-T-SYNC-P30-test-R0104,persistence,point,104,B1,T,online_causal,1,1,1,1,232,0.26206898740653334,0.3460366707769422,0.8482758233259464,0.6910568706543998
PNT-B1-T-SYNC-P30-test-R0104,persistence,point,104,B1,T,online_causal,2-3,2,2,3,87,0.36896549559187614,0.4752494458769374,0.7022988385167616,0.47463177303393744
PNT-B1-T-SYNC-P30-test-R0104,persistence,point,104,B1,T,online_causal,4-7,3,4,6,10,0.3700002789497375,0.4929503854275697,0.8449999094009399,0.562129800449271
PNT-B1-T-SYNC-P30-test-R0104,causal_gru,point,104,B1,T,online_causal,1,1,1,1,232,0.9932278117229199,1.2268983804124605,0.8482758233259464,-0.17087836810984558
PNT-B1-T-SYNC-P30-test-R0104,causal_gru,point,104,B1,T,online_causal,2-3,2,2,3,87,0.9339108768550829,1.1638948023765918,0.7022988385167616,-0.3297912877479343
PNT-B1-T-SYNC-P30-test-R0104,causal_gru,point,104,B1,T,online_causal,4-7,3,4,6,10,1.6079769372940063,1.8001888749631982,0.8449999094009399,-0.9029314907666399
PNT-B1-T-SYNC-P30-test-R0105,climatology,point,105,B1,T,online_causal,1,1,1,1,243,0.8216049288525994,1.0506562491067395,0.8216049288525994,0.0
PNT-B1-T-SYNC-P30-test-R0105,climatology,point,105,B1,T,online_causal,2-3,2,2,3,77,0.8090908775081882,0.9997402172031649,0.8090908775081882,0.0
PNT-B1-T-SYNC-P30-test-R0105,climatology,point,105,B1,T,online_causal,4-7,3,4,7,9,0.7222224076588949,0.776387830842392,0.7222224076588949,0.0
PNT-B1-T-SYNC-P30-test-R0105,persistence,point,105,B1,T,online_causal,1,1,1,1,243,0.2658436465165252,0.34438474076786163,0.8216049288525994,0.676433724797896
PNT-B1-T-SYNC-P30-test-R0105,persistence,point,105,B1,T,online_causal,2-3,2,2,3,77,0.4597401526067164,0.6083829150762369,0.8090908775081882,0.4317818116765706
PNT-B1-T-SYNC-P30-test-R0105,persistence,point,105,B1,T,online_causal,4-7,3,4,7,9,0.6666667726304796,0.8755951567901707,0.7222224076588949,0.07692316721174652
PNT-B1-T-SYNC-P30-test-R0105,causal_gru,point,105,B1,T,online_causal,1,1,1,1,243,0.9577449020534876,1.1667879092145776,0.8216049288525994,-0.1657000444130885
PNT-B1-T-SYNC-P30-test-R0105,causal_gru,point,105,B1,T,online_causal,2-3,2,2,3,77,1.0313598815496865,1.3007414408392908,0.8090908775081882,-0.27471451010056525
PNT-B1-T-SYNC-P30-test-R0105,causal_gru,point,105,B1,T,online_causal,4-7,3,4,7,9,1.3448134793175592,1.480299740514931,0.7222224076588949,-0.8620489548043955
PNT-B1-T-SYNC-P30-test-R0106,climatology,point,106,B1,T,online_causal,1,1,1,1,251,0.7450198775743583,0.9329621024277817,0.7450198775743583,0.0
PNT-B1-T-SYNC-P30-test-R0106,climatology,point,106,B1,T,online_causal,2-3,2,2,3,75,0.8706666008631389,1.1664189813818087,0.8706666008631389,0.0
PNT-B1-T-SYNC-P30-test-R0106,climatology,point,106,B1,T,online_causal,4-7,3,4,4,3,0.8166667222976685,1.007058681512048,0.8166667222976685,0.0
PNT-B1-T-SYNC-P30-test-R0106,persistence,point,106,B1,T,online_causal,1,1,1,1,251,0.24900398548855723,0.32961403302327075,0.7450198775743583,0.6657753799814491
PNT-B1-T-SYNC-P30-test-R0106,persistence,point,106,B1,T,online_causal,2-3,2,2,3,75,0.45466663837432864,0.5884442240392609,0.8706666008631389,0.47779478628950156
PNT-B1-T-SYNC-P30-test-R0106,persistence,point,106,B1,T,online_causal,4-7,3,4,4,3,0.7333331902821859,0.7958222759604078,0.8166667222976685,0.1020410526597999
PNT-B1-T-SYNC-P30-test-R0106,causal_gru,point,106,B1,T,online_causal,1,1,1,1,251,0.8952114582061768,1.0818426611769496,0.7450198775743583,-0.2015940582965563
PNT-B1-T-SYNC-P30-test-R0106,causal_gru,point,106,B1,T,online_causal,2-3,2,2,3,75,1.006071523030599,1.329905433119441,0.8706666008631389,-0.15551868193086293
PNT-B1-T-SYNC-P30-test-R0106,causal_gru,point,106,B1,T,online_causal,4-7,3,4,4,3,1.5787347952524822,1.9624454424585789,0.8166667222976685,-0.9331445155629177
PNT-B1-T-SYNC-P30-test-R0107,climatology,point,107,B1,T,online_causal,1,1,1,1,237,0.7729957621811815,1.008340721547024,0.7729957621811815,0.0
PNT-B1-T-SYNC-P30-test-R0107,climatology,point,107,B1,T,online_causal,2-3,2,2,3,85,0.7911764761980842,1.0065520489753155,0.7911764761980842,0.0
PNT-B1-T-SYNC-P30-test-R0107,climatology,point,107,B1,T,online_causal,4-7,3,4,5,7,0.5928569180624825,0.6538347050492835,0.5928569180624825,0.0
PNT-B1-T-SYNC-P30-test-R0107,persistence,point,107,B1,T,online_causal,1,1,1,1,237,0.2286919888564806,0.3067455267020494,0.7729957621811815,0.7041484571517252
PNT-B1-T-SYNC-P30-test-R0107,persistence,point,107,B1,T,online_causal,2-3,2,2,3,85,0.4023529782014735,0.5163218616348453,0.7911764761980842,0.49144977093487585
PNT-B1-T-SYNC-P30-test-R0107,persistence,point,107,B1,T,online_causal,4-7,3,4,5,7,0.5142859390803746,0.5477228373350254,0.5928569180624825,0.13252941238990013
PNT-B1-T-SYNC-P30-test-R0107,causal_gru,point,107,B1,T,online_causal,1,1,1,1,237,0.9015063193276964,1.1329927273135263,0.7729957621811815,-0.16625001511508097
PNT-B1-T-SYNC-P30-test-R0107,causal_gru,point,107,B1,T,online_causal,2-3,2,2,3,85,1.0301651590010699,1.2767979556764166,0.7911764761980842,-0.3020674779809187
PNT-B1-T-SYNC-P30-test-R0107,causal_gru,point,107,B1,T,online_causal,4-7,3,4,5,7,1.1974951199122839,1.3509358883460687,0.5928569180624825,-1.0198720524773859
PNT-B1-T-SYNC-P30-test-R0108,climatology,point,108,B1,T,online_causal,1,1,1,1,221,0.758597261765424,0.9764013975241009,0.758597261765424,0.0
PNT-B1-T-SYNC-P30-test-R0108,climatology,point,108,B1,T,online_causal,2-3,2,2,3,101,0.7935643184303057,0.9909366571485299,0.7935643184303057,0.0
PNT-B1-T-SYNC-P30-test-R0108,climatology,point,108,B1,T,online_causal,4-7,3,4,4,7,1.0071428162711007,1.2835497923657022,1.0071428162711007,0.0
PNT-B1-T-SYNC-P30-test-R0108,persistence,point,108,B1,T,online_causal,1,1,1,1,221,0.24072399128616126,0.3186509930437721,0.758597261765424,0.6826722117003914
PNT-B1-T-SYNC-P30-test-R0108,persistence,point,108,B1,T,online_causal,2-3,2,2,3,101,0.4930693501293069,0.6252128744281852,0.7935643184303057,0.37866491892602605
PNT-B1-T-SYNC-P30-test-R0108,persistence,point,108,B1,T,online_causal,4-7,3,4,4,7,0.4000000272478376,0.5424812083603303,1.0071428162711007,0.6028368362604034
PNT-B1-T-SYNC-P30-test-R0108,causal_gru,point,108,B1,T,online_causal,1,1,1,1,221,0.9609671415786398,1.1894312170092782,0.758597261765424,-0.2667685345215409
PNT-B1-T-SYNC-P30-test-R0108,causal_gru,point,108,B1,T,online_causal,2-3,2,2,3,101,0.9237282618437663,1.1364118511255918,0.7935643184303057,-0.16402444060354027
PNT-B1-T-SYNC-P30-test-R0108,causal_gru,point,108,B1,T,online_causal,4-7,3,4,4,7,0.8842537743704659,0.9941801452933031,1.0071428162711007,0.12201749336367773
PNT-B1-T-SYNC-P30-test-R0109,climatology,point,109,B1,T,online_causal,1,1,1,1,239,0.7629706944381841,1.0050135570283776,0.7629706944381841,0.0
PNT-B1-T-SYNC-P30-test-R0109,climatology,point,109,B1,T,online_causal,2-3,2,2,3,82,0.886585335905959,1.1650656230032577,0.886585335905959,0.0
PNT-B1-T-SYNC-P30-test-R0109,climatology,point,109,B1,T,online_causal,4-7,3,4,6,8,0.40624989569187164,0.5801398756252962,0.40624989569187164,0.0
PNT-B1-T-SYNC-P30-test-R0109,persistence,point,109,B1,T,online_causal,1,1,1,1,239,0.24644355095580034,0.3292568180551673,0.7629706944381841,0.6769947355091144
PNT-B1-T-SYNC-P30-test-R0109,persistence,point,109,B1,T,online_causal,2-3,2,2,3,82,0.42439019098514463,0.542577410302402,0.886585335905959,0.5213205387031574
PNT-B1-T-SYNC-P30-test-R0109,persistence,point,109,B1,T,online_causal,4-7,3,4,6,8,0.3749999701976776,0.6264980587438792,0.40624989569187164,0.0769229132747794
PNT-B1-T-SYNC-P30-test-R0109,causal_gru,point,109,B1,T,online_causal,1,1,1,1,239,0.9700128752816173,1.181641879762376,0.7629706944381841,-0.27136321532754204
PNT-B1-T-SYNC-P30-test-R0109,causal_gru,point,109,B1,T,online_causal,2-3,2,2,3,82,1.173904984462552,1.4740405387852635,0.886585335905959,-0.32407444260624363
PNT-B1-T-SYNC-P30-test-R0109,causal_gru,point,109,B1,T,online_causal,4-7,3,4,6,8,0.5342512428760529,0.6565909321851571,0.40624989569187164,-0.3150803201221408
PNT-B1-T-SYNC-P30-test-R0110,climatology,point,110,B1,T,online_causal,1,1,1,1,238,0.7628150957973063,0.9827343241979123,0.7628150957973063,0.0
PNT-B1-T-SYNC-P30-test-R0110,climatology,point,110,B1,T,online_causal,2-3,2,2,3,89,0.7191010325142507,0.9653258000404983,0.7191010325142507,0.0
PNT-B1-T-SYNC-P30-test-R0110,climatology,point,110,B1,T,online_causal,4-7,3,4,4,2,1.325000286102295,1.5103809519086224,1.325000286102295,0.0
PNT-B1-T-SYNC-P30-test-R0110,persistence,point,110,B1,T,online_causal,1,1,1,1,238,0.25798320269384306,0.3582168622473854,0.7628150957973063,0.6618011309487852
