scenario_id,model,mask_type,mask_seed,stations,variables,protocol,hidden_cells,MAE,RMSE,climatology_MAE,skill
PNT-B1-T-SYNC-P30-test-R0101,climatology,point,101,B1,T,online_causal,329,0.7759877965080701,1.0044883860317233,0.7759877965080701,0.0
PNT-B1-T-SYNC-P30-test-R0101,persistence,point,101,B1,T,online_causal,329,0.2924012184867743,0.4330565784667446,0.7759877965080701,0.6231883802779192
PNT-B1-T-SYNC-P30-test-R0101,causal_gru,point,101,B1,T,online_causal,329,0.9216825896845763,1.1550149320973815,0.7759877965080701,-0.18775397478172962
PNT-B1-T-SYNC-P30-test-R0102,climatology,point,102,B1,T,online_causal,329,0.7673252176006514,0.9951592483506986,0.7673252176006514,0.0
PNT-B1-T-SYNC-P30-test-R0102,persistence,point,102,B1,T,online_causal,329,0.3133738921406059,0.4314040044689681,0.7673252176006514,0.5916022503202821
PNT-B1-T-SYNC-P30-test-R0102,causal_gru,point,102,B1,T,online_causal,329,0.9399586502904226,1.1396616820166787,0.7673252176006514,-0.22498078875809457
PNT-B1-T-SYNC-P30-test-R0103,climatology,point,103,B1,T,online_causal,329,0.760790235728116,1.0036104888631645,0.760790235728116,0.0
PNT-B1-T-SYNC-P30-test-R0103,persistence,point,103,B1,T,online_causal,329,0.306382985462896,0.42669294192925006,0.760790235728116,0.597283231205417
PNT-B1-T-SYNC-P30-test-R0103,causal_gru,point,103,B1,T,online_causal,329,0.8953253657622178,1.0965702164944005,0.760790235728116,-0.1768360366840731
PNT-B1-T-SYNC-P30-test-R0104,climatology,point,104,B1,T,online_causal,329,0.8095744348224535,1.0436338745525218,0.8095744348224535,0.0
PNT-B1-T-SYNC-P30-test-R0104,persistence,point,104,B1,T,online_causal,329,0.2936170394659767,0.3892944187292328,0.8095744348224535,0.6373192793194249
PNT-B1-T-SYNC-P30-test-R0104,causal_gru,point,104,B1,T,online_causal,329,0.9962275622463517,1.2321507650018892,0.8095744348224535,-0.23055709196750107
PNT-B1-T-SYNC-P30-test-R0105,climatology,point,105,B1,T,online_causal,329,0.815957437532651,1.0323454126581733,0.815957437532651,0.0
PNT-B1-T-SYNC-P30-test-R0105,persistence,point,105,B1,T,online_causal,329,0.32218844622464166,0.44181169148991795,0.815957437532651,0.605140622041638
PNT-B1-T-SYNC-P30-test-R0105,causal_gru,point,105,B1,T,online_causal,329,0.985562441921524,1.2089066787756908,0.815957437532651,-0.20786011204424626
PNT-B1-T-SYNC-P30-test-R0106,climatology,point,106,B1,T,online_causal,329,0.7743160623185178,0.9916942059806853,0.7743160623185178,0.0
PNT-B1-T-SYNC-P30-test-R0106,persistence,point,106,B1,T,online_causal,329,0.30030394470075705,0.4093882779831923,0.7743160623185178,0.6121687779515209
PNT-B1-T-SYNC-P30-test-R0106,causal_gru,point,106,B1,T,online_causal,329,0.9267162450541117,1.1537812559048735,0.7743160623185178,-0.19681908997117437
PNT-B1-T-SYNC-P30-test-R0107,climatology,point,107,B1,T,online_causal,329,0.773860165775728,1.0016399707705594,0.773860165775728,0.0
PNT-B1-T-SYNC-P30-test-R0107,persistence,point,107,B1,T,online_causal,329,0.27963527683791417,0.37820566025181235,0.773860165775728,0.6386488293300329
PNT-B1-T-SYNC-P30-test-R0107,causal_gru,point,107,B1,T,online_causal,329,0.9410440791341671,1.1767423069774245,0.773860165775728,-0.2160389185956504
PNT-B1-T-SYNC-P30-test-R0108,climatology,point,108,B1,T,online_causal,329,0.7746200326003565,0.9883861966877654,0.7746200326003565,0.0
PNT-B1-T-SYNC-P30-test-R0108,persistence,point,108,B1,T,online_causal,329,0.3215805672584696,0.44098537300996415,0.7746200326003565,0.5848537944739933
PNT-B1-T-SYNC-P30-test-R0108,causal_gru,point,108,B1,T,online_causal,329,0.947902945761985,1.1695378553430653,0.7746200326003565,-0.22370053170446336
PNT-B1-T-SYNC-P30-test-R0109,climatology,point,109,B1,T,online_causal,329,0.7851063607311539,1.0393474311548287,0.7851063607311539,0.0
PNT-B1-T-SYNC-P30-test-R0109,persistence,point,109,B1,T,online_causal,329,0.29392098510881326,0.4020842401839496,0.7851063607311539,0.6256290869493268
PNT-B1-T-SYNC-P30-test-R0109,causal_gru,point,109,B1,T,online_causal,329,1.01023494182749,1.2515382088072573,0.7851063607311539,-0.28674914935942986
PNT-B1-T-SYNC-P30-test-R0110,climatology,point,110,B1,T,online_causal,329,0.7544072500478171,0.9821352356217772,0.7544072500478171,0.0
PNT-B1-T-SYNC-P30-test-R0110,persistence,point,110,B1,T,online_causal,329,0.31185412008349295,0.43627325220769503,0.7544072500478171,0.5866236438425976
PNT-B1-T-SYNC-P30-test-R0110,causal_gru,point,110,B1,T,online_causal,329,0.9905731891788611,1.2195844457294376,0.7544072500478171,-0.313048342411973
PNT-B1-T-SYNC-P30-test-R0111,climatology,point,111,B1,T,online_causal,329,0.7357142620173631,0.9859152225256936,0.7357142620173631,0.0
PNT-B1-T-SYNC-P30-test-R0111,persistence,point,111,B1,T,online_causal,329,0.331307046681552,0.4558302055183145,0.7357142620173631,0.5496797278700396
PNT-B1-T-SYNC-P30-test-R0111,causal_gru,point,111,B1,T,online_causal,329,0.9717701716988283,1.2112735386733338,0.7357142620173631,-0.3208527031053996
PNT-B1-T-SYNC-P30-test-R0112,climatology,point,112,B1,T,online_causal,329,0.812006044895091,1.0339414138275849,0.812006044895091,0.0
PNT-B1-T-SYNC-P30-test-R0112,persistence,point,112,B1,T,online_causal,329,0.3136778189418526,0.43291616341671185,0.812006044895091,0.6137001431037635
PNT-B1-T-SYNC-P30-test-R0112,causal_gru,point,112,B1,T,online_causal,329,0.94414832236919,1.1601079898682185,0.812006044895091,-0.162735583441588
PNT-B1-T-SYNC-P30-test-R0113,climatology,point,113,B1,T,online_causal,329,0.80486315760569,1.027516480370081,0.80486315760569,0.0
PNT-B1-T-SYNC-P30-test-R0113,persistence,point,113,B1,T,online_causal,329,0.30972649152518045,0.42221735948943917,0.80486315760569,0.6151811788148485
PNT-B1-T-SYNC-P30-test-R0113,causal_gru,point,113,B1,T,online_causal,329,0.9488471032638318,1.1437253136277,0.80486315760569,-0.17889245432287604
PNT-B1-T-SYNC-P30-test-R0114,climatology,point,114,B1,T,online_causal,329,0.7574467865529394,0.9774431184560692,0.7574467865529394,0.0
PNT-B1-T-SYNC-P30-test-R0114,persistence,point,114,B1,T,online_causal,329,0.327963529024443,0.4623516123625828,0.7574467865529394,0.567014429466431
PNT-B1-T-SYNC-P30-test-R0114,causal_gru,point,114,B1,T,online_causal,329,0.8980440586171252,1.1074405913336955,0.7574467865529394,-0.1856199993982801
PNT-B1-T-SYNC-P30-test-R0115,climatology,point,115,B1,T,online_causal,329,0.7737082159627897,0.9880248159970422,0.7737082159627897,0.0
PNT-B1-T-SYNC-P30-test-R0115,persistence,point,115,B1,T,online_causal,329,0.2972644386320491,0.39533755995709235,0.7737082159627897,0.6157925785211701
PNT-B1-T-SYNC-P30-test-R0115,causal_gru,point,115,B1,T,online_causal,329,0.8794061409303845,1.0729264158346272,0.7737082159627897,-0.13661212688050117
