request_ordinal,target_station_id,direction,status,response_sha256,http_status
58,01449360,UM,complete,bd8eac76e0824a6d318701932d61a26c205bbe405944f0ff695e3aa32b3b7de9,200.0
59,01449360,DM,complete,335d8f12f689f05c431d39fd187b89d82c6f0df45e9adc8592547142b07592bc,200.0
60,01470779,UM,complete,99439b16a07353603495729cd7daa15c6a56931e43efa50d1e9f11cd927f09ef,200.0
61,01470779,DM,complete,bbc4cb3b864480a7cffd10cd98d111096a15fd290052fafbf178fc11819d7cf2,200.0
64,01472157,UM,complete,301b8330abefb9016587c7f51ae262ad6ee7091817de2045f059a094759c4fd0,200.0
65,01472157,DM,complete,9d37068bc70ea422b9dc5de730b7f1fc7dcaae1a07d58198293580ebd0b1aeca,200.0
66,01480065,UM,complete,54f07f25d4e3b2eefbe41e9a347320aab34fbe5f62c308eb117b4f750ae77bd2,200.0
67,01480065,DM,complete,78bdce0668936f22c9e20b0438d05a445ced1eeced21074b5b3fa82ba3ba0174,200.0
68,01480400,UM,complete,f7d4387d1712f79afc1e507714b6466b7958f14e2951ae74789e86170da015bb,200.0
69,01480400,DM,complete,75f0d90599828cf6ae83e07c7003847924ea36995d6a8704a6e12c20479007b1,200.0
70,01480500,UM,complete,11d88451a0ed9853ac82bda8ce9b083690ede2144518814df00a3f61b663f4ea,200.0
71,01480500,DM,complete,864ad8bf52ccb8aaabf3e5d13a683c22e7a782a8e906b3f0398d82f0cfae9e92,200.0
74,01480870,UM,complete,8b6b1b513aaf69316cf7e661969304d69e50ecda105b046e55a7f97694f21e71,200.0
75,01480870,DM,complete,b259413076129e6e47c807d3977e44014ad31b64f798c4088f58d59ea7f99a56,200.0
76,01481000,UM,complete,1b693302d291ff1454c5767986c07af25130c903cc1d1fd52ce215281d864d14,200.0
77,01481000,DM,complete,4b4fa9d6595881519bcf3f9f60cef275b96a07ec3858a39b47da70dbdbb99f90,200.0
78,01481500,UM,complete,3ead87a2f8b2a425b3f469b754fdad2691e7cd42c1a1aeacb34a58308376004d,200.0
79,01481500,DM,complete,c2a71e7e7f56fb229c0db7581c99ef4f8c8a19d8c8cf24bf391fb8a43c598c8b,200.0
80,01516350,UM,complete,605ff74661c42587ac047d017c5f95c6d86eb49f2dc0aee36ba929664b3a9f46,200.0
81,01516350,DM,complete,b911d0c4bf7a16dd675dfbd5212f0ee1b0de6064c1a4d788709da0a600ded9eb,200.0
84,01520000,UM,complete,0f74d955bd65ca89a29a76c4191680056838e8795c40c720afda7abf7ccb4813,200.0
85,01520000,DM,complete,fbd9c002378dc05a77ed405653faace5a689e76974f0a7480aa66ea389ea9405,200.0
86,0157155010,UM,complete,83f70ac4092fdf6703368c1470672b9f7c9e38e1842953c4acfe08aaf650f24c,200.0
87,0157155010,DM,complete,527fddac2e5ec876848147b9e966faa04af3a2a0755f929c832b409f765da52f,200.0
90,01571820,UM,complete,720ff80c013040b2d1f5e8ea8f99d9e37fb0396cdcea70024e7dea7adef5b779,200.0
91,01571820,DM,complete,fc26c0160dc6621a67c08a8dcaf60c1728ae03a811e5900de7f3128fc06b9cde,200.0
94,01581920,UM,complete,c5525995dfb4dda28a946190ffea03c3b3d3d519743907df390ac0ea0122ca68,200.0
95,01581920,DM,complete,951de67228f5fa2cf2b79a3f43f551151edf8d84b9adc939a1d4839ca0270848,200.0
96,01585075,UM,complete,e918adcf102fa88c3201ae734087a93fa7b4fecac22a1c4d0f1d62e2e3df5692,200.0
97,01585075,DM,complete,e918adcf102fa88c3201ae734087a93fa7b4fecac22a1c4d0f1d62e2e3df5692,200.0
98,01589290,UM,complete,3b670c90c3ee6bf5b93b89a10b1c69c365b8883eb0bb43bd666cfaad7a440046,200.0
99,01589290,DM,complete,c97daa9c5baf9accda18d7252d70721e9440f5f5ae854030534da39670fb4cf6,200.0
100,01595800,UM,complete,fa90597b81bffc258f38b236b73bb6f9594bbf357048526875da19ed85c6699d,200.0
101,01595800,DM,complete,97570da6a7f2f2dfaacc92e70702028c725021d9376c548e749873346adbd521,200.0
102,01596500,UM,complete,b57011c589613268f7ecbb0d238786a0e1507da38833adafacfa9b8cda95382b,200.0
103,01596500,DM,complete,3d0f01b7c49c7e5335ec745a945b0b924aaca40be2980f9329d73d0c0aef88a6,200.0
106,01646000,UM,complete,c1324d48103d684381dba57bf0fee5ea5192a6535e755158bee33ed3ebe3bf26,200.0
107,01646000,DM,complete,b2b21aa07365a838d1615cc1b48bd53c4745d64f39d490aa8c7c00318af47362,200.0
110,01646500,UM,complete,14cd6227d4116d0d822651c016e57c3cf59fc0eae8ac1d6dc16d01168b1ebcd2,200.0
111,01646500,DM,complete,9583f82fcd44174bc8f32a4036c8b0fda8609c56bfa26a28c73db412d6d2d21c,200.0
112,01649190,UM,complete,a09de8131220a8fb860ab521c99ac729aebfc1fc890af25da0042d2031de40d0,200.0
113,01649190,DM,complete,0688535f7eb00ec1e767ceae12adeebb5bf4575f28634339052bbe5ae077b3bd,200.0
116,01654500,UM,complete,ba0bc4d09e3e896d8d8ea48207b89947a7230b49f5093dc334f5d8c7574e2fd9,200.0
117,01654500,DM,complete,a786693018ce0cd1f2640bb3266944a21329edd022168a105a83c338ec924ea2,200.0
118,01656903,UM,complete,05eeb0443a5aa13e5b8af6ed43b4ac2d6cca0d3b09d848959fc13cd6a4026889,200.0
119,01656903,DM,complete,015326ea54db73ab3811f568fff8135481996f1c6c9a462ba9115c9772b886af,200.0
120,02011400,UM,complete,a427cb4f489972bd3fbcdd970852cb94356748bb8b1744d84657c1cc83003c20,200.0
121,02011400,DM,complete,2d3f2cc4a28d257b61d6a978a7d4e1e82093fca36264db81245afffeb74a458e,200.0
122,02011460,UM,complete,e926b13aee1e9a4df6cee5fd00226589015700d2026c84d0899bcdaaab106603,200.0
