request_ordinal,target_station_id,direction,cache_path,status,response_sha256
54,01447720,UM,results/framework/public_catalog/nldi_cache/01447720_UM_200.json,complete,60c70dd96193d710918b719e9a41a0027a6cd16e59b17633e5410e386d79bce9
55,01447720,DM,results/framework/public_catalog/nldi_cache/01447720_DM_200.json,complete,1f889fb14ca20ff1c7ff0d3f64dd92b16a086d47b89c47bb03aa86fcad5f5192
56,01447800,UM,results/framework/public_catalog/nldi_cache/01447800_UM_200.json,missing,
57,01447800,DM,results/framework/public_catalog/nldi_cache/01447800_DM_200.json,missing,
58,01449360,UM,results/framework/public_catalog/nldi_cache/01449360_UM_200.json,missing,
59,01449360,DM,results/framework/public_catalog/nldi_cache/01449360_DM_200.json,missing,
60,01470779,UM,results/framework/public_catalog/nldi_cache/01470779_UM_200.json,missing,
61,01470779,DM,results/framework/public_catalog/nldi_cache/01470779_DM_200.json,missing,
62,01470960,UM,results/framework/public_catalog/nldi_cache/01470960_UM_200.json,complete,6c76ef331dfc876e6ff581a6d284deb7b82a349abd274c1de1a9ba4b2ca9663d
63,01470960,DM,results/framework/public_catalog/nldi_cache/01470960_DM_200.json,complete,e956387e209cb1df327d4818e256200a28e1bf990c473003f24b93c5436a9ac0
64,01472157,UM,results/framework/public_catalog/nldi_cache/01472157_UM_200.json,missing,
65,01472157,DM,results/framework/public_catalog/nldi_cache/01472157_DM_200.json,missing,
66,01480065,UM,results/framework/public_catalog/nldi_cache/01480065_UM_200.json,missing,
67,01480065,DM,results/framework/public_catalog/nldi_cache/01480065_DM_200.json,missing,
68,01480400,UM,results/framework/public_catalog/nldi_cache/01480400_UM_200.json,missing,
69,01480400,DM,results/framework/public_catalog/nldi_cache/01480400_DM_200.json,missing,
70,01480500,UM,results/framework/public_catalog/nldi_cache/01480500_UM_200.json,missing,
71,01480500,DM,results/framework/public_catalog/nldi_cache/01480500_DM_200.json,missing,
72,01480617,UM,results/framework/public_catalog/nldi_cache/01480617_UM_200.json,complete,574e478d09d14991bf530c98ee80a098d39e49a5bedc57221826b17233284348
73,01480617,DM,results/framework/public_catalog/nldi_cache/01480617_DM_200.json,complete,54840767d317aabd3af7a5711abc39e84a342c5cf43de2a97e1a21900349e84c
74,01480870,UM,results/framework/public_catalog/nldi_cache/01480870_UM_200.json,missing,
75,01480870,DM,results/framework/public_catalog/nldi_cache/01480870_DM_200.json,missing,
76,01481000,UM,results/framework/public_catalog/nldi_cache/01481000_UM_200.json,missing,
77,01481000,DM,results/framework/public_catalog/nldi_cache/01481000_DM_200.json,missing,
78,01481500,UM,results/framework/public_catalog/nldi_cache/01481500_UM_200.json,missing,
79,01481500,DM,results/framework/public_catalog/nldi_cache/01481500_DM_200.json,missing,
80,01516350,UM,results/framework/public_catalog/nldi_cache/01516350_UM_200.json,missing,
81,01516350,DM,results/framework/public_catalog/nldi_cache/01516350_DM_200.json,missing,
82,01518700,UM,results/framework/public_catalog/nldi_cache/01518700_UM_200.json,complete,2c21815eee40a077c1d2755b9a751eefbb010c1cfd8016ef9c1422fabf3139fd
83,01518700,DM,results/framework/public_catalog/nldi_cache/01518700_DM_200.json,complete,1c985371bbc3a3b24f2f4aa6dd9529fd29b857d4ccaa0d4c9c66649d1979c0e8
84,01520000,UM,results/framework/public_catalog/nldi_cache/01520000_UM_200.json,missing,
