gap_length,method,n,n_networks,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
7,empirical_transfer,224,57,0.9132906256673073,0.9320715582058596,0.022082787388223595,0.9518823444064177,0.8448412237512265,0.09338919891468898
7,simple_fitting_period,224,57,0.4086322869955158,0.3744490536686544,0.26528700974829794,0.6143716747834258,-0.058998835304528985,0.24398111881087575
30,empirical_transfer,224,57,0.9039173606662397,0.9156728026963963,0.06672431176768973,0.9204462168594487,0.812901786381696,0.14711724840903326
30,simple_fitting_period,224,57,0.2557505872304079,0.15296862846772102,0.5371881053919234,0.3844239126178501,-0.04360007320104864,0.3474528061137596
90,empirical_transfer,220,56,0.8729106149221094,0.8647983595352017,0.2443942942875684,0.8197985629319705,0.7076598536670936,0.23621263110388163
90,simple_fitting_period,220,56,0.2770605703724156,0.042925495557074506,0.8939550754282086,0.3505782007399756,-0.07870822150128642,0.45374398561394597
180,empirical_transfer,206,53,0.6826758148033891,0.6594097726173197,1.2495267598414996,0.6172890756660296,0.21047591722258385,0.8871792942922657
180,simple_fitting_period,206,53,0.3387913668077162,0.16400580551523947,1.198455871056998,0.7061394758119619,-0.24722472876357826,1.115067256106417
