subset,provider_block,method,n,n_networks,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
direct_874,US,empirical_transfer,434,32,0.9136150531153224,0.752932551319648,0.2541629505590716,0.8460944735330578,0.7068293626126947,0.536766617793828
direct_874,US,simple_fitting_period,434,32,0.8130819499946601,0.1942815249266862,0.11470516459632535,1.090172114885485,0.5679826176041832,0.6515921951676059
direct_874,CZ,empirical_transfer,276,15,0.9699262282216292,0.932142857142857,-0.008680193791114291,1.0494377538306137,0.94810738714388,0.24354886664404146
direct_874,CZ,simple_fitting_period,276,15,0.9294741798775704,0.7142857142857142,-0.12494388292892696,1.2199339044513295,0.7550634026381335,0.5291273177701945
direct_874,NO,empirical_transfer,164,10,0.9592871960772814,0.8181818181818182,0.013584519107869158,1.0919717080180456,0.8149239935034847,0.49264283511213325
direct_874,NO,simple_fitting_period,164,10,0.8623862446097968,0.6121212121212121,-0.43000464976194214,1.2570011509680037,0.6267633732229155,0.6995990946901759
all_1446,US,empirical_transfer,703,32,0.7212916353948375,0.6359970674486803,0.36103641325171026,0.8266177437228313,0.2701242942994365,1.0792333938699348
all_1446,US,simple_fitting_period,703,32,0.7776374437558649,0.4596774193548387,0.18619351595048128,1.012761374216462,0.6580127251660697,0.7387472786462161
all_1446,CZ,empirical_transfer,478,15,0.6935783481127858,0.9428571428571427,0.33227580939899215,1.0985346542145222,0.13604242757829577,1.7219868373433846
all_1446,CZ,simple_fitting_period,478,15,0.9280135414522385,0.7285714285714285,-0.25711598578435435,1.3165351245644887,0.8092521085800707,0.8091210364666996
all_1446,NO,empirical_transfer,265,10,0.7721683536534151,0.7212121212121211,0.05931414836085024,1.1037783421879026,0.38493509710666396,1.0347443674284127
all_1446,NO,simple_fitting_period,265,10,0.8747095010252905,0.7696969696969697,-0.31313917341274516,1.1157716206508783,0.7627569520596652,0.6426423551701526
