subset,method,n,n_networks,station_gap_spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
direct_874,stored_route_a_simple,874,57,0.8323438358334205,0.27689914441275604,-0.037770554609884356,1.0527555530388324,0.6768906798592527,0.5989187831463935
all_1446,stored_route_a_simple,1446,57,0.8190947335163268,0.6140782991962667,-0.011524218052111857,1.0174320563432957,0.7835905403834017,0.7037287608619468
