subset,method,per_network_rho_median,per_network_rho_q1,per_network_rho_q3,per_network_rho_mean,n_networks_per_network_rho,residualized_pooled_rho,n_units_residualized,n_networks_residualized,station_gap_spearman,network_spearman,r2,rmse,calibration_slope,n,n_networks
direct_874,empirical_transfer,0.965034965034965,0.9440559440559443,0.9823529411764707,0.9294715851205217,57.0,0.9358954218739222,874.0,57.0,,,,,,,
direct_874,simple_fitting_period,0.9370629370629372,0.9090909090909091,0.9624060150375938,0.9109580486424812,57.0,0.8957689876866078,874.0,57.0,,,,,,,
direct_874,network_mean_only,,,,,,,,,0.3257033427953977,1.0,0.10678644840722118,0.9957970663904055,1.0000000000000004,874.0,57.0
all_1446,empirical_transfer,0.682456407050482,0.6596831339934767,0.7204600829986338,0.6951695207777858,57.0,0.6072931774184497,1446.0,57.0,,,,,,,
all_1446,simple_fitting_period,0.9381499726327313,0.894736842105263,0.961624649859944,0.9134486319871745,57.0,0.90755287970127,1446.0,57.0,,,,,,,
all_1446,network_mean_only,,,,,,,,,0.3091096074309754,1.0,0.08649070045601781,1.4458514231578314,1.0,1446.0,57.0
