subset,point_delta_rho_station,point_delta_rho_network,delta_rho_station_ci,delta_rho_network_ci,rho_station_empirical_ci,rho_network_empirical_ci,rho_station_simple_ci,rho_network_simple_ci
direct_874,0.09947050498512289,0.5573632356753955,"{'lower_95': 0.060840047558465435, 'median': 0.09733657844710453, 'upper_95': 0.14856653974955958, 'fraction_positive': 1.0}","{'lower_95': 0.3036574524904667, 'median': 0.549611387555073, 'upper_95': 0.8208163559512961, 'fraction_positive': 1.0}","{'lower_95': 0.9218686307856329, 'median': 0.9459247794066463, 'upper_95': 0.964184659046117, 'fraction_positive': 1.0}","{'lower_95': 0.6662586028678564, 'median': 0.8036111096286002, 'upper_95': 0.9006581894600023, 'fraction_positive': 1.0}","{'lower_95': 0.8014285944052149, 'median': 0.8473077205825035, 'upper_95': 0.881473771875637, 'fraction_positive': 1.0}","{'lower_95': -0.023271689361068666, 'median': 0.24348347720057648, 'upper_95': 0.5026035560727685, 'fraction_positive': 0.9635}"
all_1446,-0.09470270542768888,0.11083743842364535,"{'lower_95': -0.15692745746703615, 'median': -0.09733667632258336, 'upper_95': -0.024250052288994906, 'fraction_positive': 0.006}","{'lower_95': -0.12365588160984106, 'median': 0.11165717705434952, 'upper_95': 0.36594954390062606, 'fraction_positive': 0.828}","{'lower_95': 0.6998087298366926, 'median': 0.7383585830657037, 'upper_95': 0.781863547812914, 'fraction_positive': 1.0}","{'lower_95': 0.5372174422562672, 'median': 0.7148975602450602, 'upper_95': 0.8370072082740901, 'fraction_positive': 1.0}","{'lower_95': 0.789262363997701, 'median': 0.8360611103788438, 'upper_95': 0.8721968167462065, 'fraction_positive': 1.0}","{'lower_95': 0.3729873009650892, 'median': 0.5997080506650438, 'upper_95': 0.772890869168638, 'fraction_positive': 1.0}"
