station_id,period,start_date,end_date,n_days,annual_minimum_range_degC,annual_amplitude_range_degC,median_annual_amplitude_degC,anomaly_mean_degC,anomaly_sd_degC,acf30,acf90,anomaly_skewness,anomaly_excess_kurtosis,seasonal_variance_fraction
B1,pre_impoundment_2006_2014,2006-01-01,2014-12-31,3287,0.1--1.6,16.4--19.6,17.5,-0.002768481898387646,0.9355249220286234,0.13734958157353439,0.15326877085340535,0.10520033298741441,1.142019615482269,0.9691588058731998
B1,post_impoundment_2015_2020,2015-01-01,2020-12-31,2192,1.0--1.8,16.1--17.5,16.85,0.32769160583941603,0.9103590455147871,0.06878179327083384,-0.0381038786815485,-0.172533828783277,0.9482671265301827,0.9694160459361397
B1,frozen_training_2006_2015,2006-01-01,2015-12-31,3652,0.1--1.6,16.4--19.6,17.45,0.011610076670317581,0.9214266344421039,0.1313460480663608,0.13762274776728034,0.07699119814994265,1.1839095245835551,0.9699937399780445
B1,validation_2016_2017,2016-01-01,2017-12-31,731,1.1--1.8,16.7--17.5,17.1,0.421203830369357,0.8929643879362131,-0.010869160167435842,-0.04399266886662238,-0.49726603848830336,1.1866957962908193,0.9701202982417862
B1,evaluation_2018_2020,2018-01-01,2020-12-31,1096,1.5--1.6,16.1--17.0,16.6,0.327463503649635,0.9544600178150148,0.10513818784409382,-0.05903383212582523,-0.04458580483423249,0.7658301981435076,0.9665515872588663
S2,pre_impoundment_2006_2014,2006-01-01,2014-12-31,3287,4.6--6.0,12.5--15.5,14.899999999999999,-0.017021600243383075,0.7762812904841059,0.13550495493867049,0.06905100186043206,0.0650080692945185,0.7405305836981535,0.9707343620147029
S2,post_impoundment_2015_2020,2015-01-01,2020-12-31,2192,4.0--5.0,13.9--15.6,14.850000000000001,0.07189781021897798,0.8086405542139419,0.10806526537655471,-0.05292038491787,-0.4598494740168225,0.9919524563359392,0.9678436306390092
S2,frozen_training_2006_2015,2006-01-01,2015-12-31,3652,4.0--6.0,12.5--15.6,14.899999999999999,0.009720700985761149,0.7691533004144756,0.14060786345735754,0.06584649970103046,-0.028588393954590334,0.7133701613679349,0.9713630625020458
S2,validation_2016_2017,2016-01-01,2017-12-31,731,4.2--5.0,14.0--15.1,14.55,0.11819425444596436,0.7929337034733294,0.0217747216577621,-0.2569276394652676,-0.6295870629518342,0.9693558153017166,0.9674205381196489
S2,evaluation_2018_2020,2018-01-01,2020-12-31,1096,4.0--5.0,13.9--15.5,14.600000000000001,-0.018476277372262897,0.8522483588662105,0.1383373529621439,0.02073512702927872,-0.1929897639745059,0.9236779757339084,0.9649719628789232
P3,pre_impoundment_2006_2014,2006-01-01,2014-12-31,3287,8.7--10.3,11.7--14.1,13.1,-0.012473379981746205,0.9112952850738965,0.3932712043610744,0.093732421500359,0.6435387963180959,1.998836522368583,0.9490904999930341
P3,post_impoundment_2015_2020,2015-01-01,2020-12-31,2192,11.5--12.5,9.6--10.7,10.3,0.9994069343065697,1.9576319337994144,0.7616008923916758,-0.04085503320997609,0.4996020626179849,-0.6879686577767194,0.6635070219670948
P3,frozen_training_2006_2015,2006-01-01,2015-12-31,3652,8.7--12.4,10.7--14.1,13.0,0.13948521358159924,1.159348204214113,0.5900655282866443,0.12528624470789024,1.4030833627498336,3.7102535897402174,0.9164910618158061
P3,validation_2016_2017,2016-01-01,2017-12-31,731,12.0--12.5,9.8--10.3,10.05,1.1538987688098497,2.125812137638867,0.7688695209796838,-0.047781931835867694,0.3315059347883591,-1.2359507349566146,0.5592789120313895
P3,evaluation_2018_2020,2018-01-01,2020-12-31,1096,11.5--12.5,9.6--10.6,10.3,0.7270072992700731,1.784146466933639,0.7385852690237011,-0.04223724068408966,0.6667509553495176,0.03918794405194648,0.7292764056629993
