station_id,gap_length,best_model,pattern,mask_type,information_condition,best_MAE_degC,best_skill,n_evaluated,predicted_skill,R2_donor,rho,prediction_error
02334430,30.0,kalman,T,block,full_information,0.0634593503760661,0.5356631171210151,30,0.643980371390864,0.36653720649469923,0.8943765200998206,-0.10831725426984884
02334430,90.0,kalman,T,block,full_information,0.1200636675599382,0.15580244439513724,90,0.5146248308610633,0.36653720649469923,0.7925233773290077,-0.358822386465926
02334430,180.0,kalman,T,block,full_information,0.14324265783467074,0.14054398468854823,180,0.41370512667480797,0.36653720649469923,0.6762846313694513,-0.27316114198625974
02335000,30.0,xgboost,T,block,full_information,0.35241050720214845,0.4700593319336229,30,0.6771211847399186,0.8527174264586975,0.5405293709137909,-0.20706185280629563
02335000,90.0,xgboost,T,block,full_information,0.2597908867730035,0.6259011173385791,90,0.6559151269321161,0.8527174264586975,0.44287825884527815,-0.03001400959353695
02335000,180.0,xgboost,T,block,full_information,0.23820196257697213,0.7261172002719034,180,0.6355333077869088,0.8527174264586975,0.3131895041458803,0.09058389248499465
02335450,30.0,xgboost,T,block,full_information,0.3396047910054525,0.512528976985282,30,0.7560138735008064,0.9134100268486866,0.5590312139014367,-0.2434848965155244
02335450,90.0,xgboost,T,block,full_information,0.29682740105523003,0.6261096008559551,90,0.7343206291440227,0.9134100268486866,0.4299188698059806,-0.10821102828806761
02335450,180.0,xgboost,T,block,full_information,0.3301491419474284,0.5545213788822932,180,0.7184349290835574,0.9134100268486866,0.2905742222887421,-0.1639135502012642
02336000,30.0,xgboost,T,block,full_information,0.7814507802327474,0.44708664494343264,30,0.763036541925077,0.9245949221325404,0.505304762124745,-0.31594989698164433
02336000,90.0,xgboost,T,block,full_information,0.2096981445948283,0.8885243170398014,90,0.7444246253717128,0.9245949221325404,0.36573436402677467,0.14409969166808856
02336000,180.0,xgboost,T,block,full_information,0.33943977355957033,0.746371281154182,180,0.7330699709643389,0.9245949221325404,0.2346948402177086,0.013301310189843152
02337170,30.0,xgboost,T,block,full_information,0.2910369237263997,0.8399430249945371,30,0.6823375679998418,0.8681926497138571,0.4841666537606635,0.1576054569946953
02337170,90.0,random_forest,T,block,full_information,0.3790851078103279,0.8009471518944362,90,0.658058302387194,0.8681926497138571,0.3360305164348959,0.14288884950724223
02337170,180.0,random_forest,T,block,full_information,0.3950827076338058,0.7289312458225748,180,0.6455375088038457,0.8681926497138571,0.21624728897467935,0.0833937370187291
