role,method,series,point_date,ci_lower_date,ci_upper_date,event_date,event_in_95pct_bootstrap_ci,earliest_admissible_point_date,latest_admissible_point_date,ci_lower_hits_admissible_boundary,ci_upper_hits_admissible_boundary,statistic,signed_statistic,asymptotic_p_value_iid,iid_permutation_p_value,iid_permutation_exceedances,calendar_year_block_permutation_p_value,calendar_year_block_permutation_exceedances,n_permutations,n_bootstrap,bootstrap_block_length_days,min_segment_days,n_daily_observations,first_segment_level_degC,second_segment_level_degC,level_change_degC
primary,pettitt_rank_location_change,P3 daily temperature minus frozen-training circular DOY median,2013-05-26,2011-05-14,2013-10-22,2014-12-20,False,2007-01-01,2015-01-01,False,False,1317432.0,-1317432.0,2.9692771164888905e-93,0.0001,0,0.0088,87,9999,5000,365,365,3652,-0.1999999999999993,0.7000000000000028,0.9000000000000021
robust_sensitivity,single_binary_segmentation_least_squares,P3 daily temperature minus frozen-training circular DOY median,2014-10-18,2014-04-16,2015-01-01,2014-12-20,True,2007-01-01,2015-01-01,False,True,1207.6479320769993,,,0.0001,0,0.0117,116,9999,5000,365,365,3652,-0.07334993773349928,1.6931818181818181,1.7665317559153173
