scenario_id,station_id,model,training_seed,mask_seed,gap_length,anchor_id,anchor_year,annual_demeaned_MAE,annual_demeaned_climatology_MAE,n_evaluated,annual_demeaned_skill,denominator_guard_degC,detrending_definition
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,air_only,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,climatology,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,donor_regression,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,kalman,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,linear,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,pchip,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,random_forest,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0107,B1,xgboost,-1.0,107,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0107,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,air_hydro,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,air_only,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,climatology,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,donor_regression,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,kalman,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,linear,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,pchip,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,random_forest,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0108,B1,xgboost,-1.0,108,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0108,2020.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,air_hydro,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,air_only,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,climatology,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,donor_regression,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,kalman,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
SCI-DENSE-BLK-B1-T-D001-PUBLISHED_V2-DEVELOPMENT_TEST-R0109,B1,linear,-1.0,109,1.0,ANCHOR-publishedv2-developmenttest-B1-T-MAM-R0109,2019.0,0.0,0.0,1,,0.05,separate_truth_and_prediction_calendar_year_anomaly_means_removed
