analysis,station_id,gap_length,best_model,mean_skill,skill_ci_lower,skill_ci_upper,mean_MAE_degC,mean_climatology_MAE_degC,n_anchors,n_anchor_year_units
annual_mean_removed,B1,3.0,pchip,0.2729593326105649,0.08500639720873054,0.45235970340652,0.10395099846731153,0.16277781724929813,20,20
annual_mean_removed,B1,7.0,kalman,0.009669031370229014,-0.1724731704968382,0.17481677348325558,0.21412219884919975,0.28397958813881385,20,20
annual_mean_removed,B1,10.0,linear,0.10317440420537553,-0.055572681768810764,0.2579993481643696,0.2565182084712115,0.3835500327944755,20,20
annual_mean_removed,B1,14.0,pchip,0.21186281317028471,0.08265422634808228,0.33872707354566145,0.28156139049692136,0.46719386005888175,20,20
annual_mean_removed,B1,21.0,random_forest,0.16259355665951647,0.01724217249648668,0.3071951130991378,0.3726766514329959,0.5616976063849933,20,20
annual_mean_removed,B1,30.0,random_forest,0.2310445585259267,0.09467910460580793,0.36296844426759317,0.38139234579929465,0.6300212822247434,20,20
annual_mean_removed,B1,45.0,random_forest,0.26264231981109165,0.13613703547498698,0.383545343984428,0.375712288383306,0.644212212476907,20,20
annual_mean_removed,B1,60.0,random_forest,0.2686065934559456,0.10575126508618576,0.38629267992026356,0.3870740912306506,0.6390544121935211,20,20
annual_mean_removed,B1,90.0,random_forest,0.26845471573564417,0.18429788353061644,0.3470172139502738,0.4101770848842321,0.628270518207822,20,20
annual_mean_removed,B1,120.0,random_forest,0.2636930501411287,0.18331201013257933,0.34721468307756176,0.4262524209872435,0.6424583849070984,20,20
annual_mean_removed,B1,150.0,donor_regression,0.2936090941005669,0.21126404877181043,0.37597695023389976,0.43079927184355676,0.6726261425603781,20,20
annual_mean_removed,B1,180.0,donor_regression,0.32041691363113056,0.2391534467430336,0.3951603398140251,0.43162354156401045,0.687669658145972,20,20
annual_mean_removed,B1,240.0,donor_regression,0.3493507688061763,0.2896141091908935,0.4065484781980298,0.43206669681380605,0.6985561759948198,20,20
annual_mean_removed,B1,365.0,donor_regression,0.36997172384476223,0.3446790634317704,0.39575762067315023,0.4394633642509249,0.7076101176597371,20,20
annual_mean_removed,P3,3.0,linear,0.44408050741988303,0.2717888165240479,0.5993755422899043,0.05222226248847114,0.08222221268547905,20,20
annual_mean_removed,P3,7.0,kalman,0.26893559793896,0.10842053219854968,0.4195390220868236,0.11312420589970296,0.16142854301296936,20,20
annual_mean_removed,P3,10.0,kalman,0.2816284596718003,0.12158554428496192,0.43527168400970107,0.1257173244470828,0.1968499517440796,20,20
annual_mean_removed,P3,14.0,kalman,0.3716958706198287,0.2484296339945038,0.49657167772924926,0.14474215867309842,0.24367346544655,20,20
annual_mean_removed,P3,21.0,kalman,0.29652008268814684,0.18520065353796658,0.4054179811778874,0.20105773234172114,0.30531807027661434,20,20
annual_mean_removed,P3,30.0,kalman,0.23752220393408408,0.11437905599270545,0.3559694148407371,0.25078076582782766,0.3475264952587159,20,20
annual_mean_removed,P3,45.0,kalman,0.26881495882553313,0.15639696943634138,0.38132509483452975,0.2971107587182871,0.4337227292179085,20,20
