held_out_ecoregion,n,n_regulated,n_unregulated,base_rate,oof_probability_median,oof_probability_mean,within_fold_auc
NorthEast,33,24,9,0.7272727272727273,0.5922977557331706,0.5975020684318997,0.7546296296296297
EastHghlnds,31,22,9,0.7096774193548387,0.5961946758995172,0.6032132136375734,0.7424242424242424
CntlPlains,22,13,9,0.5909090909090909,0.6092984174316435,0.6104667150781607,0.6666666666666667
MxWdShld,15,11,4,0.7333333333333333,0.5914777594073949,0.5959707328175416,0.6136363636363636
WestMnts,123,74,49,0.6016260162601627,0.7082135129277394,0.7101613596311699,0.5132377275234418
WestXeric,16,13,3,0.8125,0.6016570950272851,0.6068088823316402,0.4871794871794872
WestPlains,20,19,1,0.95,0.5588400369846858,0.5659768839988379,0.42105263157894735
SECstPlain,6,1,5,0.16666666666666666,0.6092815000855296,0.6114038084462906,0.4
SEPlains,63,32,31,0.5079365079365079,0.6520888566721543,0.6513686975190703,0.13205645161290322
Alaska,6,0,6,0.0,0.7224145549518818,0.7389247929874628,
