station_id,gap_length,donor_component,memory_component,network,recoverability_type,classification_rule
B1,14,0.464408182714103,0.22189456888026363,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
B1,30,0.464408182714103,0.05846535489612338,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
B1,60,0.464408182714103,0.022253198806175253,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
B1,90,0.464408182714103,0.008660381520050787,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
P3,14,0.10631928223226639,0.7138102339340213,Upper Jinsha,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
P3,30,0.10631928223226639,0.5530352950124768,Upper Jinsha,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
P3,60,0.10631928223226639,0.43417914011030634,Upper Jinsha,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
P3,90,0.10631928223226639,0.36125410172384503,Upper Jinsha,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
S2,14,0.4698037657024676,0.2523900811636962,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
S2,30,0.4698037657024676,0.07875872122526538,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
S2,60,0.4698037657024676,0.01658929521703822,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
S2,90,0.4698037657024676,0.008212484102002107,Upper Jinsha,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02334430,14,0.36653720649469923,0.5147346201329314,Upper--Middle Chattahoochee,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02334430,30,0.36653720649469923,0.5067128175503136,Upper--Middle Chattahoochee,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02334430,60,0.36653720649469923,0.45161315346040454,Upper--Middle Chattahoochee,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02334430,90,0.36653720649469923,0.3978737386886492,Upper--Middle Chattahoochee,memory_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335000,14,0.8527174264586975,0.04316498137268074,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335000,30,0.8527174264586975,0.04303184419754868,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335000,60,0.8527174264586975,0.03819269774736535,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335000,90,0.8527174264586975,0.028888173667160687,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335450,14,0.9134100268486866,0.02660990538583105,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335450,30,0.9134100268486866,0.02706074322723291,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335450,60,0.9134100268486866,0.02196732634619284,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02335450,90,0.9134100268486866,0.016004445052885608,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02336000,14,0.9245949221325404,0.024933901069907127,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02336000,30,0.9245949221325404,0.01925339740463388,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02336000,60,0.9245949221325404,0.014093865125658463,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02336000,90,0.9245949221325404,0.010086305751070317,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02337170,14,0.8681926497138571,0.04455832682106459,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02337170,30,0.8681926497138571,0.030897929581887768,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02337170,60,0.8681926497138571,0.02005922354278361,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
02337170,90,0.8681926497138571,0.01488322571981515,Upper--Middle Chattahoochee,donor_dominated,memory_component_gt_donor_component_at_named_gap_horizon
