model,moderator,level,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,descriptive_only
simple_descriptors,provider,arso,329,12,0.786973223973743,0.5594405594405596,0.08730251601889003,0.6484179701416541,0.18432658790779854,1.0551054231759343,True
simple_descriptors,provider,foen,63,1,0.8513824884792627,,-0.15843863170952868,0.7862204267015889,0.5400822035545251,0.8753074508705312,True
simple_descriptors,provider,gkd_bayern,350,9,0.8974081887548936,0.5,0.002796259918436489,0.8261829328299539,0.747120405368095,0.6919200439729557,True
simple_descriptors,provider,lubw,94,2,0.7772929234548279,0.9999999999999999,-0.2316726651890438,0.8661581998191531,0.532763182206545,0.7357338061045672,True
simple_descriptors,provider,rws_waterwebservices,21,1,0.9649350649350649,,-0.0975838146667939,0.9473540495370505,0.9245962576915833,0.43797432852941964,True
simple_descriptors,provider,usgs,583,17,0.7572204796107186,0.6764705882352942,-0.04562291344572212,0.9540051169157371,0.6911085717871142,0.6645268573314786,True
simple_descriptors,domain_group,cross_domain,857,25,0.8377565792368571,0.6038461538461538,0.01136064295302478,0.7525779097123407,0.5486775730647454,0.8621438171942293,True
simple_descriptors,domain_group,united_states,583,17,0.7572204796107186,0.6764705882352942,-0.04562291344572212,0.9540051169157371,0.6911085717871142,0.6645268573314786,True
simple_descriptors,thermal_state_shift,False,1422,42,0.8082083927696307,0.5569240742241309,0.01442136841351382,0.8112023882510867,0.610957454490519,0.7828179195833238,True
simple_descriptors,thermal_state_shift,True,18,3,0.479876160990712,0.5,0.3664338066629083,0.26970265995489145,-3.3257113921914208,1.1314815126642528,True
simple_descriptors,network_size_group,3_to_4,601,27,0.8336522738956668,0.40170940170940167,0.05160772322143946,0.8094152449146287,0.6381988248804908,0.8077129020368037,True
simple_descriptors,network_size_group,5_to_7,208,6,0.7852904151531153,0.7142857142857143,0.025565815613358668,0.7717786768909558,0.537008388997138,0.8604853373626894,True
simple_descriptors,network_size_group,8_plus,631,9,0.7947198635116146,0.8166666666666667,-0.05735327981270966,0.7997655102440168,0.5706125696843353,0.7430061479579949,True
fitting_period_empirical_all_cells,provider,arso,329,12,0.7543582900832219,0.9720279720279721,0.08951922253504577,1.2299476619627279,0.25113900983797977,1.0109700879695835,True
fitting_period_empirical_all_cells,provider,foen,63,1,0.6429710442631306,,0.26696517353739574,0.9694099747554689,0.1342361888364072,1.200937018701721,True
fitting_period_empirical_all_cells,provider,gkd_bayern,350,9,0.34952290409258463,0.5499999999999999,0.901859060170255,0.4607332058869888,-0.18219104108946982,1.4960387763174714,True
fitting_period_empirical_all_cells,provider,lubw,94,2,0.3298161541762188,-0.9999999999999999,0.7322157098015002,0.6741071277696874,-0.14704999765259807,1.152771835574366,True
fitting_period_empirical_all_cells,provider,rws_waterwebservices,21,1,0.6572971244315532,,0.2795302716044643,1.135510661638736,0.18142659852275222,1.4430488050732597,True
fitting_period_empirical_all_cells,provider,usgs,583,17,0.733168307606499,0.8333333333333335,0.18409211747916057,0.9255804748887787,0.3441863358541879,0.9682774998907948,True
fitting_period_empirical_all_cells,domain_group,cross_domain,857,25,0.5632818847871448,0.733076923076923,0.5197396507035333,0.7679113934444689,0.022884530783451873,1.2685547185101664,True
fitting_period_empirical_all_cells,domain_group,united_states,583,17,0.733168307606499,0.8333333333333335,0.18409211747916057,0.9255804748887787,0.3441863358541879,0.9682774998907948,True
fitting_period_empirical_all_cells,thermal_state_shift,False,1422,42,0.6306624844671469,0.7609594036139697,0.39624195158383135,0.828675329103419,0.14147534781571536,1.162889889462497,True
fitting_period_empirical_all_cells,thermal_state_shift,True,18,3,0.7465089026901592,0.5,-0.37314052920479734,1.3836632364690236,0.4893615638792551,0.38875451226593616,True
fitting_period_empirical_all_cells,network_size_group,3_to_4,601,27,0.6901094912226885,0.8028083028083028,0.39161399860370133,0.8488358975055018,0.18816811695098257,1.2099156249623058,True
fitting_period_empirical_all_cells,network_size_group,5_to_7,208,6,0.7151188269647848,0.8285714285714287,0.3749211060024065,0.7770889611856152,0.17735642862184642,1.1469982821089977,True
fitting_period_empirical_all_cells,network_size_group,8_plus,631,9,0.511180758219496,0.09999999999999999,0.44400260809593795,0.7541443839372995,0.04808134047187118,1.1062866301242953,True
