provider,domains,n_networks,n_station_gaps,xgboost_vs_lstm_spearman,empirical_vs_lstm_spearman
arso,slovenia,2,18,0.283797729618163,0.24458204334365324
chmi,czechia,2,18,0.6470588235294118,0.5727554179566564
foen,switzerland,1,27,0.15995115995115994,0.25213675213675213
gkd_bayern,germany,2,15,0.2714285714285714,-0.1880042590907602
lubw,germany,2,42,0.3947005915241877,0.19244793776841423
nve_hydapi,norway,2,18,-0.17234262125902994,0.20123839009287925
rws_waterwebservices,netherlands,1,9,-0.45,-0.26666666666666666
usgs,united_states,2,18,0.16202270381836945,0.011351909184726523
