network_id,target_station,donor_station,gap_length,realized_mae,n_placements
huc8_01090001,01104370,01104410,90,2.2345231586052416,20
huc8_01090001,01104370,01104415,90,2.029845097922616,20
huc8_01090001,01104370,01104420,90,2.2278083985592696,20
huc8_01090001,01104370,01104430,90,2.255993933212726,20
huc8_01090001,01104370,01104453,90,2.260821704882699,20
huc8_01090001,01104370,01104455,90,2.2768797363746844,20
huc8_01090001,01104370,01104460,90,1.4011883012542912,20
huc8_01090001,01104370,01104475,90,1.4111505164570923,20
huc8_01090001,01104415,01104370,90,1.7519544407848173,20
huc8_01090001,01104415,01104410,90,1.7487359510101785,20
huc8_01090001,01104415,01104420,90,1.7494546908590611,20
huc8_01090001,01104415,01104430,90,1.7660468855211238,20
huc8_01090001,01104415,01104453,90,1.8116543766250544,20
huc8_01090001,01104415,01104455,90,1.7492109662168662,20
huc8_01090001,01104415,01104460,90,1.5059837383688792,20
huc8_01090001,01104415,01104475,90,1.493357753920534,20
huc8_01090001,01104420,01104370,90,1.0513493228840338,20
huc8_01090001,01104420,01104410,90,2.0413753652473146,20
huc8_01090001,01104420,01104415,90,2.0181337504811787,20
huc8_01090001,01104420,01104430,90,2.0222963730519115,20
huc8_01090001,01104420,01104453,90,2.0800255776739975,20
huc8_01090001,01104420,01104455,90,2.129234648132589,20
huc8_01090001,01104420,01104460,90,1.2701071636854493,20
huc8_01090001,01104420,01104475,90,1.465387342572826,20
huc8_01090001,01104430,01104370,90,1.6482047645421023,20
huc8_01090001,01104430,01104410,90,1.6417914422658122,20
huc8_01090001,01104430,01104415,90,1.6543913337792735,20
huc8_01090001,01104430,01104420,90,1.6383661886837664,20
huc8_01090001,01104430,01104453,90,1.6704575550403458,20
huc8_01090001,01104430,01104455,90,1.6526382134507887,20
huc8_01090001,01104430,01104460,90,1.6351578696420042,20
huc8_01090001,01104430,01104475,90,1.6505684319307747,20
huc8_01090001,01104455,01104370,90,1.2380540513604241,20
huc8_01090001,01104455,01104410,90,1.2281050237375086,20
huc8_01090001,01104455,01104415,90,1.2374158600460494,20
huc8_01090001,01104455,01104420,90,1.2225398379278936,20
huc8_01090001,01104455,01104430,90,1.2635949775642272,20
huc8_01090001,01104455,01104453,90,1.263793325030413,20
huc8_01090001,01104455,01104460,90,1.21862018272021,20
huc8_01090001,01104455,01104475,90,1.2310469521080944,20
huc8_01090001,01104460,01104370,90,2.1909655269995563,20
huc8_01090001,01104460,01104410,90,2.2076420162834003,20
huc8_01090001,01104460,01104415,90,2.165427766522894,20
huc8_01090001,01104460,01104420,90,2.2064765152568704,20
huc8_01090001,01104460,01104430,90,2.19146544909829,20
huc8_01090001,01104460,01104453,90,2.226418127811321,20
huc8_01090001,01104460,01104455,90,2.2138172081248686,20
huc8_01090001,01104460,01104475,90,2.1438966973019102,20
huc8_01090001,01104475,01104370,90,1.919311604497145,20
huc8_01090001,01104475,01104410,90,1.9215985420560944,20
huc8_01090001,01104475,01104415,90,1.7639357875407424,20
huc8_01090001,01104475,01104420,90,1.9252594349353032,20
huc8_01090001,01104475,01104430,90,1.9403549543122398,20
