network_id,policy,k,protected_fraction,selected,worst_target_mae,oracle_mae,regret,independent_realized_outcomes
huc8_01090001,simple_risk_minimax,1,0.14285714285714285,01104460,1.7463017568057981,1.7463017568057981,0.0,True
huc8_01090001,greedy_mutual_information,1,0.14285714285714285,01104370,2.1909655269995563,1.7463017568057981,0.44466377019375813,True
huc8_01090001,qr_pivot,1,0.14285714285714285,01104370,2.1909655269995563,1.7463017568057981,0.44466377019375813,True
huc8_01090001,distance_even,1,0.14285714285714285,01104370,2.1909655269995563,1.7463017568057981,0.44466377019375813,True
huc8_01090001,oracle,1,0.14285714285714285,01104460,1.7463017568057981,1.7463017568057981,0.0,True
huc8_01090001,random,1,0.14285714285714285,random_ensemble,2.1423095820270905,1.7463017568057981,0.3960078252212924,True
huc8_01090001,simple_risk_minimax,2,0.2857142857142857,01104460|01104455,1.7463017568057981,1.6351578696420042,0.11114388716379398,True
huc8_01090001,greedy_mutual_information,2,0.2857142857142857,01104370|01104455,2.1909655269995563,1.6351578696420042,0.5558076573575521,True
huc8_01090001,qr_pivot,2,0.2857142857142857,01104370|01104455,2.1909655269995563,1.6351578696420042,0.5558076573575521,True
huc8_01090001,distance_even,2,0.2857142857142857,01104370|01104475,2.1909655269995563,1.6351578696420042,0.5558076573575521,True
huc8_01090001,oracle,2,0.2857142857142857,01104460|01104475,1.6351578696420042,1.6351578696420042,0.0,True
huc8_01090001,random,2,0.2857142857142857,random_ensemble,2.050913848910779,1.6351578696420042,0.41575597926877483,True
huc8_01090001,simple_risk_minimax,3,0.42857142857142855,01104460|01104455|01104430,1.7463017568057981,1.493357753920534,0.2529440028852641,True
huc8_01090001,greedy_mutual_information,3,0.42857142857142855,01104370|01104455|01104430,2.1909655269995563,1.493357753920534,0.6976077730790222,True
huc8_01090001,qr_pivot,3,0.42857142857142855,01104370|01104455|01104430,2.1909655269995563,1.493357753920534,0.6976077730790222,True
huc8_01090001,distance_even,3,0.42857142857142855,01104370|01104430|01104475,2.1909655269995563,1.493357753920534,0.6976077730790222,True
huc8_01090001,oracle,3,0.42857142857142855,01104430|01104460|01104475,1.493357753920534,1.493357753920534,0.0,True
huc8_01090001,random,3,0.42857142857142855,random_ensemble,2.0829248810064884,1.493357753920534,0.5895671270859544,True
huc8_01090001,simple_risk_minimax,4,0.5714285714285714,01104460|01104455|01104430|01104370,1.919311604497145,1.4111505164570923,0.5081610880400527,True
huc8_01090001,greedy_mutual_information,4,0.5714285714285714,01104370|01104455|01104430|01104420,2.1909655269995563,1.4111505164570923,0.7798150105424639,True
huc8_01090001,qr_pivot,4,0.5714285714285714,01104370|01104455|01104430|01104420,2.1909655269995563,1.4111505164570923,0.7798150105424639,True
huc8_01090001,distance_even,4,0.5714285714285714,01104370|01104420|01104455|01104475,2.1909655269995563,1.4111505164570923,0.7798150105424639,True
huc8_01090001,oracle,4,0.5714285714285714,01104415|01104430|01104460|01104475,1.4111505164570923,1.4111505164570923,0.0,True
huc8_01090001,random,4,0.5714285714285714,random_ensemble,1.9662750609305788,1.4111505164570923,0.5551245444734865,True
huc8_01090001,simple_risk_minimax,5,0.7142857142857143,01104460|01104455|01104430|01104370|01104420,1.919311604497145,1.21862018272021,0.7006914217769349,True
huc8_01090001,greedy_mutual_information,5,0.7142857142857143,01104370|01104455|01104430|01104420|01104415,2.1909655269995563,1.21862018272021,0.9723453442793462,True
huc8_01090001,qr_pivot,5,0.7142857142857143,01104370|01104455|01104430|01104420|01104475,2.1909655269995563,1.21862018272021,0.9723453442793462,True
huc8_01090001,distance_even,5,0.7142857142857143,01104370|01104420|01104430|01104455|01104475,2.1909655269995563,1.21862018272021,0.9723453442793462,True
