provider,n_networks,n_station_gaps,xgboost_vs_brits_spearman,empirical_vs_brits_spearman
arso,1,9,0.39999999999999997,0.5
foen,1,27,0.10500610500610501,0.1623931623931624
gkd_bayern,1,9,0.03333333333333333,-0.6835990727814749
lubw,1,12,0.6363636363636365,0.5104895104895105
rws_waterwebservices,1,9,-0.5,-0.18333333333333335
usgs,1,9,0.6666666666666667,0.39999999999999997
