risk_model,moderator,term,estimate,std_error,p_value,ci_lower,ci_upper
simple_descriptors,climate_group,Intercept,-0.11156431573816764,0.12451067012687951,0.37024094453613166,-0.35560522918685145,0.1324765977105162
simple_descriptors,climate_group,C(climate_group)[T.humid],0.1812329665841356,0.12234142576212789,0.13850789843264802,-0.05855622790963508,0.42102216107790624
simple_descriptors,climate_group,C(climate_group)[T.maritime],0.07924548648648144,0.14686257026927738,0.5894802268933238,-0.2086051512413022,0.3670961242142651
simple_descriptors,climate_group,C(climate_group)[T.other],0.2711583638021662,0.2879060282464856,0.3462799869089833,-0.2931374515609456,0.835454179165278
simple_descriptors,climate_group,C(phase)[T.first],-0.05714483714266178,0.11354358180685888,0.6147635669149967,-0.2796902574841052,0.16540058319878162
simple_descriptors,climate_group,C(phase)[T.second],0.003184996362892555,0.09530555445051168,0.9733406253353609,-0.18361389036011036,0.18998388308589545
simple_descriptors,climate_group,predicted_loss,1.1599438518812448,0.1441875508322621,8.64654666894447e-16,0.8773362522500111,1.4425514515124784
simple_descriptors,climate_group,predicted_loss:C(climate_group)[T.humid],-0.2573441709567629,0.14127022966911598,0.06850890756568322,-0.5342338211082303,0.01954547919470445
simple_descriptors,climate_group,predicted_loss:C(climate_group)[T.maritime],-0.5107222216052992,0.16818396264326346,0.002391928944139267,-0.8403627883860956,-0.18108165482450284
simple_descriptors,climate_group,predicted_loss:C(climate_group)[T.other],-0.5591865674517286,0.3201912373796091,0.0807389805056186,-1.1867613927157623,0.06838825781230518
simple_descriptors,climate_group,predicted_loss:C(phase)[T.first],0.11696893064341994,0.12970787471019343,0.36716979978040953,-0.1372585037885592,0.3711963650753991
simple_descriptors,climate_group,predicted_loss:C(phase)[T.second],0.21207748451705458,0.10723265380228374,0.0479589128486668,0.001901483064578463,0.4222534859695307
simple_descriptors,climate_group,Group Var,0.48061143428702885,0.10161771422562237,2.249594309866328e-06,0.281440714404809,0.6797821541692487
simple_descriptors,climate_group,Group x predicted_loss Cov,-0.49107170307338793,0.09953031215872213,8.060746981811458e-07,-0.6861511149044833,-0.29599229124229254
simple_descriptors,climate_group,predicted_loss Var,0.722097189692898,0.12092553387143953,2.3519693024857326e-09,0.48508314330487656,0.9591112360809195
simple_descriptors,regulation_stratum,Intercept,0.03907159727312507,0.06079249312124619,0.5204159846058289,-0.08008168924451745,0.1582248837907676
simple_descriptors,regulation_stratum,C(regulation_stratum)[T.unmatched_gages],-0.19414007184324356,0.11853089191794886,0.10144550617342757,-0.4264606200024233,0.038180476315936185
