phase,networks_in_scope,networks_with_materialized_ta_f,networks_scored,status
open_development,56,56,50,development_proxy_executable
first_confirmation,42,0,0,fail_closed_no_ta_f_confirmation_inputs
second_confirmation,60,0,0,fail_closed_no_ta_f_confirmation_inputs
