stratum,value,n_networks,n_station_gaps,row_coverage,network_simultaneous_coverage,mean_width,median_width,median_loss,median_width_over_median_loss,mean_prediction
horizon,7,42.0,4380.0,0.7006849315068493,0.0,0.8077932330016458,0.851527602537681,0.3372424670628137,2.5249714543781883,0.5494591051018192
horizon,14,42.0,4380.0,0.6212328767123287,0.0,0.8426141215033146,0.851527602537681,0.4608804770878384,1.8476104866021257,0.7535611099031405
horizon,30,42.0,4380.0,0.7273972602739726,0.023809523809523808,1.1480006273597179,1.1547478651530478,0.6104741334915161,1.8915590387894716,0.9431109478533642
horizon,60,42.0,4380.0,0.623972602739726,0.0,1.1547451716636494,1.1547478651530483,0.7962386711438498,1.450253431542299,1.2038503780907996
horizon,90,42.0,4380.0,0.9011415525114155,0.21428571428571427,2.524267155883952,2.565145778327783,0.9754000409444172,2.629839727958302,1.5080954076245074
horizon,180,39.0,3948.0,0.5980243161094225,0.0,2.565145778327783,2.565145778327783,1.9841184081633887,1.2928390602969233,2.5750890980932644
horizon,365,32.0,2880.0,0.8840277777777777,0.21875,6.4944293297470645,6.494429329747064,3.7643553242618086,1.7252434401953336,4.96733216272677
season,DJF,42.0,7248.0,0.6876379690949227,0.0,1.944479596718168,1.1547478651530483,0.6668559324741363,1.731630190150306,1.5674713819126795
season,JJA,41.0,7085.0,0.7411432604093154,0.0,1.9675895782801174,1.1547478651530483,0.9271623102823892,1.2454646315393716,1.6148567906053233
season,MAM,41.0,6899.0,0.7112625018118568,0.0,2.119802533569101,1.1547478651530483,0.8336528523763019,1.3851663337580802,1.7171868669613588
season,SON,42.0,7496.0,0.7231856990394877,0.0,1.9402047758156709,1.1547478651530483,0.7139549128214517,1.6173960629945712,1.5394317355882572
domain,cross_domain,25.0,17140.0,0.7093348891481913,0.0,2.168382551533634,1.1547478651530483,0.7970250850253635,1.44882248607809,1.7648707564306554
domain,united_states,17.0,11588.0,0.7253192958232655,0.0,1.7290452213021152,1.154747865153048,0.7519568475087485,1.535657091199789,1.3754626041988587
