risk_model,moderator,level,reference_phase,adjusted_calibration_slope,std_error,ci_lower,ci_upper,n_networks,n_station_gaps
simple_descriptors,climate_group,arid_semiarid,development,1.1599438518812448,0.1441875508322621,0.8773362522500111,1.4425514515124784,13,259
simple_descriptors,climate_group,humid,development,0.902599680924482,0.05941053387514208,0.7861550345292034,1.0190443273197605,74,1775
simple_descriptors,climate_group,maritime,development,0.6492216302759456,0.14317523731152385,0.36859816514535887,0.9298450954065323,15,471
simple_descriptors,climate_group,other,development,0.6007572844295163,0.30905678178832613,-0.0049940078756028905,1.2065085767346355,2,41
simple_descriptors,regulation_stratum,regulated,development,0.9724645816347329,0.07088502282311604,0.8335299369014255,1.1113992263680403,71,1801
simple_descriptors,regulation_stratum,unmatched_gages,development,1.0454213604535145,0.13527760956838517,0.7802772456994795,1.3105654752075495,12,249
simple_descriptors,regulation_stratum,unregulated,development,0.7524602389380188,0.1014038750326771,0.5537086438739718,0.9512118340020659,21,496
fitting_period_empirical,climate_group,arid_semiarid,development,0.7402967019093928,0.14993969317113867,0.446414903293961,1.0341785005248245,13,283
fitting_period_empirical,climate_group,humid,development,0.8579534289736214,0.06834872570043221,0.7239899266007742,0.9919169313464685,70,1951
fitting_period_empirical,climate_group,maritime,development,1.006877114954358,0.15635624431602924,0.7004188760949408,1.3133353538137753,15,471
fitting_period_empirical,climate_group,other,development,0.8233158347707887,0.3604444461238927,0.11684472036795901,1.5297869491736185,2,41
fitting_period_empirical,regulation_stratum,regulated,development,0.8874498929254251,0.0542058495528786,0.7812064278017831,0.9936933580490671,68,1906
fitting_period_empirical,regulation_stratum,unmatched_gages,development,1.0387313955341642,0.0972794847930058,0.8480636053398728,1.2293991857284556,11,276
fitting_period_empirical,regulation_stratum,unregulated,development,0.7407773724420341,0.0845780013126916,0.5750044898691586,0.9065502550149096,21,564
