model,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
learned_error_with_operator,1200,51,0.8104084035518108,0.8295927601809955,0.053700872935080496,0.9888997720386625,0.743215477157439,0.5773170183786838
learned_error_without_operator,1200,51,0.8029218453235786,0.8383710407239818,0.06105507132049793,0.9761099012131377,0.7323382348668483,0.589417609625356
