phase,scope,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
development,supported_only,823,51,0.8179313166354549,0.7870588235294117,0.10101630573101655,0.8562426732323521,0.7078195507136903,0.470329044772292
confirmation,supported_only,780,42,0.9341048983106937,0.9218863949436837,0.1065654421544471,0.8635904833613768,0.8119853832008911,0.36217894334323014
development,all_cells_with_network_mean_fallback,1460,51,0.6804689367825756,0.779366515837104,0.2410272336893934,0.8977644543259341,0.23946355463226632,1.1269410168356653
confirmation,all_cells_with_network_mean_fallback,1440,42,0.6333596656792232,0.766631553358723,0.3937119898702933,0.8291303560017649,0.14463461952342094,1.1564160625447537
