network_id,role,n_sites_planned,network_plan_sha256,materialization_status,n_auxiliary_rows,n_source_failures_or_unavailable,n_attempt_archives
huc8_07120004,development,3,00485f5fb058d1451404e91b541ef8a3b3de90f1651559c62eb8ef69b26b8690,not_materialized,0,0,0
huc8_10230006,development,3,ad5a239deb5106864e80171368673360451dc20c025e85d7d560bcc8f88d4ad5,not_materialized,0,0,0
huc8_10300101,development,5,fad667db7c3636ffde6ee006c2dfba137a3c022ca98447219865e09df1c2c357,not_materialized,0,0,0
huc8_13060011,development,3,611c7604c94373f43f36d383596e610c8cdb5746f1f95e1feff88e02d08e280d,not_materialized,0,0,0
huc8_15030108,development,3,7bae72d6fcff3de7d879c664dad89c1ed713d4e101c1238ab3fccc3ed91c9b95,not_materialized,0,0,0
huc8_16020102,development,3,20b87c28afec7fea8c36311fc7d940f82910f7f7941c43a00cbe74b2997d86c1,not_materialized,0,0,0
huc8_16050102,development,3,970afeceb639a718b4397ab99e6778a0f809555b5a27bc73deaa1df769075831,not_materialized,0,0,0
huc8_03040206,validation,4,56298b7195618121b50f58ddd01eb55afb02c5b85dc581996fe58ffe108d85a9,not_materialized,0,0,0
huc8_03050106,validation,3,75eee8db54a5738a3b17adeb66812b94459288563ca67b800b185efa78f152c9,not_materialized,0,0,0
huc8_03050109,validation,5,00e0dc6ad614c6d083278ca85520000fd026f8dc9c1a8d4215247a5584d31b99,not_materialized,0,0,0
huc8_03050208,validation,5,b0beb82415c3f57c2b975527429c103f0a150631ae6d8f0438987ffe14591897,not_materialized,0,0,0
huc8_03060106,validation,4,53a7915767a0a8d72e1bc94592c6266291dce8c7a126d7c87320e368412f2867,not_materialized,0,0,0
huc8_03070103,validation,19,31d70e411d66a62278c789bcb6f69d65f62c273c0c371b50b063f7e10a5a456e,not_materialized,0,0,0
huc8_03080103,validation,16,373f295e59b91ea5a8efe390dec2af52c2466d800e872a319be504d8a73a8cbc,not_materialized,0,0,0
huc8_03090101,validation,5,574d52dd28b33b78c1613ab9e7dfd72abe0ad0ab5dad555c7ce54f1d7e3822a8,not_materialized,0,0,0
huc8_03090204,validation,7,f6e6779c5c3cb67d094bcd76515cb6c09649affdef686c019888d93761113564,not_materialized,0,0,0
huc8_03100101,validation,4,28db25b8eb2ee66fa58b5eb1ce766eebea9cb0781e772ac0afd18bf75f249044,not_materialized,0,0,0
huc8_03100204,validation,3,6f0e1624a417cdf66eb58b0f5d24165aba4923a86592c90af7b727d8c92f7de8,not_materialized,0,0,0
huc8_03100205,validation,5,edc32aa42878fbc30cc5ad5d424cdcf1c81bcd18220e6d7f5ae942faa5090607,not_materialized,0,0,0
huc8_03100207,validation,12,3f66cfa837aa384c35b3d14285c7abb3161e9a882789cb8e81d76955861e4576,not_materialized,0,0,0
huc8_03150104,validation,5,dc9db6d645b6f3957b61e8b674b0665baf4a4cbd57e5bc7f711d7d6a464a4daa,not_materialized,0,0,0
huc8_03160111,validation,5,3ec6649400be5ba63464588b8d6ffde0525f5eb3190963e9411b14831717c81d,not_materialized,0,0,0
huc8_11010014,validation,3,fdd282911021c06fd5a87148ddde8716b65c5b0e4e1528599ee1a2602fc618a9,not_materialized,0,0,0
huc8_11020002,validation,5,d8626723ee6a7af081c9845f0602332e76c662256e14bce8f1c902df4fdab84d,not_materialized,0,0,0
huc8_11020003,validation,5,7008d2cefa775433e07c9e806f79b86b3765b1c0b06d54cf4e41f51a00200b46,not_materialized,0,0,0
huc8_11030012,validation,3,321d7d8984295098f8faba442152a7b296985b637fca630d89e1636dcf4dd577,not_materialized,0,0,0
huc8_11130206,validation,4,8660ee8703273a443e9fd04ba8ea33916b9a4cecb49637d0e2304ca5ed6f2990,not_materialized,0,0,0
