network_id,station_id,temp_sd,temp_iqr,climatology_mae,acf_lag1,daily_gradient,acf_gap,donor_r2
huc8_01070004,01095375,7.975901432208195,15.7,1.4643224538749162,0.9922425681043339,0.7276409414340449,0.9505113686366176,0.9873773739905891
huc8_01070004,01095220,7.75346070429231,15.6,1.4049540144171018,0.992631400732704,0.6860299258844917,0.9477200299305356,0.9874756376508843
huc8_01090001,01104460,7.898835014885618,15.799999999999999,1.4121836965442578,0.9925341742599255,0.7195305336512011,0.9534298678780934,0.9757467105439742
huc8_01090001,01104430,7.392520371614033,14.2,1.1534819618581535,0.9979765646638932,0.29517906336088157,0.9773035183540942,0.9415497126531265
huc8_01090001,01104415,6.0014837532336704,11.075,1.38011453398723,0.980077078622228,0.9059592711682745,0.9246084423009622,0.9759212158747097
huc8_01090001,01104455,4.404032251729783,5.699999999999999,1.6988301006665079,0.9801263403053216,0.5758973330659716,0.9351981854658579,0.5957401787630987
huc8_01090001,01104475,5.907965444482095,11.1,1.3472547658643463,0.9845698570351405,0.7884672461310155,0.928068338245135,0.9632256457264917
huc8_01090004,01115170,8.115703242031346,15.9,1.321110190157065,0.9949603161888347,0.5495927258950558,0.9668147597294177,0.961994876836889
huc8_01090004,01115098,8.457432867886764,16.1,1.662042578861021,0.9931584705373827,0.7019828997635074,0.944419829068013,0.9899547802374797
huc8_01090004,01115110,6.9899163937501205,13.2,1.5891200130036236,0.9852811372458613,0.8686992674717876,0.9240439816492454,0.9944077011316682
huc8_01090004,01115190,8.061248186237604,15.5,1.6969604536802463,0.98885209519043,0.8842632066728453,0.9338533365076617,0.9955278693926565
huc8_01090004,01115183,7.323081146195211,13.9,1.6724783555861304,0.9837453835195438,0.9388097845929172,0.9236928004435059,0.9929294507275755
huc8_01090004,01115184,7.304996787337048,13.299999999999999,1.6029715145081387,0.9868625447683125,0.8907613889773814,0.9333521337551605,0.9854922248713741
huc8_01090004,01115265,8.09578223579071,15.6,1.668686885674587,0.9901627722907161,0.820773214946356,0.9326115450321762,0.9938583567394488
huc8_01090004,01115276,7.365340689458224,14.3,1.5420071063502065,0.9878019556620885,0.8878033406870469,0.936001546095822,0.9839402378610478
huc8_02020006,01362500,6.803691849680928,13.0,1.3737624309845078,0.9915766367007975,0.6640860215053762,0.9558398485457633,0.9651863705571008
huc8_02020006,01362230,5.647184485913096,9.0,1.4993975613505397,0.9948867584524168,0.34185331576635924,0.9669195490628093,0.786564330923641
huc8_02020006,01359139,9.49131334422975,19.1,1.314601244250306,0.9986504209958773,0.3460816681146829,0.9768694279258373,0.9533524389337105
huc8_02040106,01447800,7.8618930581566815,16.0,1.2334471507991829,0.9966038765607644,0.4248368258330471,0.9638672845474356,0.9705219600745276
huc8_02040106,01447720,7.384568299951105,14.8,1.291182471336868,0.9918313377380563,0.6923267326732673,0.9517238364060521,0.9883893890709802
huc8_02040106,01447500,7.365248707716627,14.4,1.4597957312873138,0.9879201467316325,0.8037047673750718,0.9287993650093623,0.9828546012614604
