predictor,n_station_gaps,n_networks,network_spearman,pooled_spearman,calibration_intercept,calibration_slope,r2,rmse
surface_full_1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
old_empirical_full_1446,1446,57,0.715452424163858,0.7399228649476387,0.2862046930270103,0.9502513594290952,0.23847087348229312,1.3201109690332493
surface_direct_874,874,57,0.6887477313974593,0.8979489243053846,-0.18863840501702506,1.3257930459959983,0.6563141032941116,0.6176949436860687
old_empirical_direct_874,874,57,0.8049001814882034,0.9453454523265827,0.13832261354048767,0.9383308686836279,0.8132326629922993,0.4553482313539534
surface_fallback_572,572,57,0.8458646616541354,0.8786608354098107,-0.985353362018753,2.3470819467223083,0.3808566506437019,1.5660895521896132
old_network_mean_fallback_572,572,57,0.5974202748249936,0.3876637161924164,0.1339008755488488,1.2175319468128396,-0.0321425761051064,2.0220450758265622
surface_interpolated_448,448,57,0.7684080891884885,0.7739997480285367,0.026345215232640568,1.025333180481811,0.4433200952156734,0.31688453296699304
old_fallback_interpolated_448,448,57,0.6531630801140783,0.4505285230293506,0.2662415773709028,0.5092504703304329,-0.6674661910074329,0.5484370527609039
surface_extrapolated_124,124,30,0.26985539488320354,0.4110904799370574,3.662704901582452,0.6303503987478107,-3.168376557969257,3.30922682234279
old_fallback_extrapolated_124,124,30,0.7357063403781979,0.5066637032979502,1.235418555485502,2.952463533682457,-5.765456820350077,4.215912868606913
