rule,threshold,fraction_abstained,n_released,n_station_gaps,n_networks,network_spearman,pooled_spearman,calibration_intercept,calibration_slope,r2,rmse
extrapolation_factor,0.0,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.05,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.1,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.15,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.2,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.217,0.08575380359612728,1322,1322,57,0.6906274306455795,0.8717275920130442,-0.1863974196100871,1.312342354496869,0.6627032820749037,0.5350487398590047
extrapolation_factor,0.25,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
extrapolation_factor,0.3,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
extrapolation_factor,0.5,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
extrapolation_factor,1.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,1.5,0.8499308437067773,217,217,52,0.35550243319388714,0.5605889786120625,-0.13602525869240184,1.3874257319409211,-0.2894442580475798,1.0845379415642806
relative_width90,2.0,0.4343015214384509,818,818,57,0.5536038371791548,0.8289554995255678,-0.8028354261754422,1.8516953739314284,0.34872435883676534,1.2749228613866945
relative_width90,2.5,0.13070539419087135,1257,1257,57,0.4888514389421831,0.8666609614735853,-0.6087444763772226,1.7850351328065333,0.42533773079418236,1.1741105458717818
relative_width90,3.0,0.03734439834024894,1392,1392,57,0.6257453979777029,0.883692445576147,-0.5397352119513389,1.7425083858913473,0.46048553430032035,1.116576131114142
relative_width90,4.0,0.006915629322268302,1436,1436,57,0.6684599429608505,0.8908924349530919,-0.5151947027210555,1.7310671720634199,0.4723335529617647,1.099585757910491
relative_width90,5.0,0.003457814661134151,1441,1441,57,0.6722841586725435,0.8917235825021345,-0.5139428386637586,1.7324995716410394,0.4736515114413111,1.0977126842172302
relative_width90,6.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,8.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,10.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,15.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,25.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,50.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
relative_width90,100.0,0.0,1446,1446,57,0.674358309567021,0.8927996015324269,-0.5085233694256379,1.7297253154046341,0.47526242056121437,1.095817581837708
