panel,tier,n_station_gaps,n_networks,pooled_spearman,network_spearman,network_r2,within_network_spearman_mean,within_network_spearman_n_networks_ge3units,calibration_intercept,calibration_slope,pooled_r2,distance_to_nearest_supported_cell_min,distance_to_nearest_supported_cell_max,effective_support_min,effective_support_max
second_all_units,t1,482,45,0.9708047047033158,0.9463768115942027,0.8847730478051213,0.9550914564053582,41,0.009088644109344684,0.993984043461324,0.8991510079631234,0.0,0.0,,
second_all_units,t2,482,53,0.7783541690240149,0.8148685695855507,0.6682260945793037,0.7974765548016126,37,-0.23340893633350818,0.9887238641379491,0.7965581476011377,0.0,7.0,,
second_all_units,t3,482,57,0.3504263361905961,0.5078428830697433,-0.4788238334571575,0.6601768881336519,6,0.9971990953163378,0.8106688493944775,-0.14907554460916184,7.0,275.0,,
second_all_units,semantic_exact_local,761,56,0.9685785438380475,0.9308954203691047,0.8919688825416271,0.9545192794752079,56,0.0021037979159768717,1.016780790615926,0.9163246604357406,0.0,0.0,,
second_all_units,semantic_network_level,128,31,0.5469687920024316,0.7584677419354839,-8.328995243658156,,0,0.8553033036799474,3.211979586371253,-5.046800707932743,160.0,275.0,,
second_all_units,semantic_station_level,557,57,0.5225563803111836,0.6285325382421572,-0.16616985994389832,0.7475316791382332,16,0.04308862009551231,0.7645791361397843,0.3022991449616985,1.0,90.0,,
second_direct_horizons,t1,292,40,0.9532744695341522,0.9178236397748594,0.7902610018471223,0.9149943333976948,35,0.10705390593920017,0.9291312685078978,0.7878403771857811,,,8.75,20.0
second_direct_horizons,t2,291,37,0.9749918431548243,0.9234234234234233,0.8657261445736686,0.9542035201588365,29,-0.014412278744842771,1.0327340522745894,0.9264097422227836,,,20.0,20.0
second_direct_horizons,t3,291,38,0.9170067630496577,0.7286355181092024,0.3659449991371404,0.8648115525017515,32,0.43452699330504396,0.8455606183691465,0.7313019718493448,,,20.0,960.0
second_direct_horizons,semantic_full_cell,734,57,0.9669207669908653,0.9202748249935184,0.8227171538335385,0.9356875522440301,57,0.04914414750411236,0.9732671882377366,0.8817288450938353,,,20.0,20.0
second_direct_horizons,semantic_partial_cell,46,11,0.8740672217082949,0.8545454545454546,0.5250463598663055,0.8112554112554112,11,0.3481558177501583,0.949154375337564,0.641888591020767,,,8.75,19.75
second_direct_horizons,semantic_pooled_cell,94,19,0.6074733061627078,0.5929824561403508,-0.8695621891030718,0.7399777904306695,13,1.3302263038684814,0.4982393935214146,0.16683345439437458,,,24.0,960.0
first_all_units,t1,480,38,0.9649277991657947,0.9174964438122333,0.8807498436702874,0.9592577088987715,38,-0.011469669290898179,1.0124694337507443,0.9376636988850365,0.0,0.0,,
first_all_units,t2,480,42,0.6437853147876419,0.7620938335629204,-0.17766313108243392,0.6616617488977814,21,0.01662590305861508,0.7295238520699365,0.5337455613309061,0.0,30.0,,
first_all_units,t3,480,40,0.4159532122325823,0.3624765478424016,-0.930128478688151,0.3243859092871236,12,1.5990479210187103,0.828535886081977,-0.2647054698159361,30.0,435.0,,
first_all_units,semantic_exact_local,642,42,0.9666571439241634,0.9510574507738433,0.9192780230635753,0.9597472684270844,42,-0.003617062774484142,1.0087353782212,0.9357808275434758,0.0,0.0,,
first_all_units,semantic_network_level,359,36,0.48268223553295786,0.4195624195624196,-1.498265935925501,0.35892235199482836,12,2.011501893466558,0.8981581974742394,-0.30608357726947544,100.0,435.0,,
first_all_units,semantic_station_level,439,42,0.20302713216095103,0.5480106960538045,-0.8167244329372882,0.571882373778027,6,0.25500306398175576,0.5413325610899569,-0.17744717655421116,2.0,98.5,,
first_direct_horizons,t1,286,27,0.9519822924187494,0.9542124542124542,0.8688291208311975,0.9474682858106771,24,0.07626354923112368,0.9174687895120097,0.9030756299499842,,,11.75,20.0
first_direct_horizons,t2,286,22,0.9727733114125925,0.961603613777527,0.8967951198427381,0.9350015926008209,21,-0.057444890213008235,1.1138403868755729,0.9349364995041707,,,20.0,20.0
first_direct_horizons,t3,286,17,0.5226154062188878,0.34558823529411764,-1.17158564614533,0.6510821040440674,15,0.6299543028977941,0.5291697921253918,-0.073978636162499,,,20.0,2035.0
first_direct_horizons,semantic_full_cell,623,42,0.9714727494045751,0.9505712665100073,0.8823804855077548,0.9633219559041027,42,0.031424329010974465,0.9580278506946986,0.9291591235540937,,,20.0,20.0
first_direct_horizons,semantic_partial_cell,32,5,0.8867302052785924,0.8999999999999998,0.7790100510300855,0.8098484848484848,4,0.08604925024230815,1.1493665265156108,0.5660166761334984,,,11.75,19.95
first_direct_horizons,semantic_pooled_cell,203,13,0.37603668290121073,0.0934065934065934,-2.884610863316787,0.5124114355867754,12,0.8987581519355874,0.3950499801126442,-0.3049489758753179,,,20.9,2035.0
