network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
chmi_berounka,0-203-1-186000,7,DJF,0,2014-01-01,0.18201100185939253,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,1,2014-01-10,0.1575323672521682,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,2,2014-01-19,0.6238686402638755,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,3,2014-01-28,0.4617137175060453,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,4,2014-02-06,0.32554690043131507,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,5,2014-02-15,0.1625218777429489,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,6,2014-02-24,0.1547285846528553,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,7,2014-12-05,0.29793886457170743,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,8,2014-12-14,0.3825999078296478,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,9,2014-12-23,0.5232579776218959,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,10,2015-01-02,0.2734123025621686,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,11,2015-01-11,0.19579151244390575,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,12,2015-01-20,0.0962010746910458,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,13,2015-01-29,0.16892444329034711,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,14,2015-02-07,0.3073176213673182,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,15,2015-02-16,0.16649333181835363,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,16,2015-02-25,0.25957698894682385,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,17,2015-12-06,0.37721081234159914,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,18,2015-12-15,0.3829369544982909,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,DJF,19,2015-12-25,0.34701436587742407,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,JJA,0,2014-06-01,1.044008819580078,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,JJA,1,2014-06-10,1.2285802619570763,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
chmi_berounka,0-203-1-186000,7,JJA,2,2014-06-20,0.5536007290794746,xgboost_b_d,2010|2011|2012|2013|2014|2015,2010|2011|2012|2013,2014|2015
