lambda,threshold,fraction_abstained,n_released,network_balanced_regret_released,worst_network_regret_released,top2_hit_released,n_networks_released
0.0,0.02,0.06041666666666667,1353,0.07067884487081436,0.36293083787467406,0.9571322985957132,42
0.0,0.05,0.2972222222222222,1012,0.047304804365163294,0.36293083787467406,0.9634387351778656,42
0.0,0.1,0.6444444444444445,512,0.02620858742789517,0.3803602104896333,0.95703125,40
0.0,0.15,0.8638888888888889,196,0.009571829340264553,0.040354070149129256,0.9540816326530612,29
0.0,0.2,0.9083333333333333,132,0.011179267745800053,0.0406500342387197,0.946969696969697,24
0.0,0.3,0.9472222222222222,76,0.006205962947335046,0.041316231589932195,0.9868421052631579,17
0.0,0.5,0.9888888888888889,16,0.00327027624774819,0.02289193373423733,1.0,7
0.0,-1.0,0.9006944444444445,143,0.04264147546093876,0.15828817749907428,0.972027972027972,10
0.5,0.02,0.009027777777777777,1427,0.07361460644480189,0.36293083787467406,0.9572529782761037,42
0.5,0.05,0.40347222222222223,859,0.04882148114641699,0.36293083787467406,0.9545983701979045,42
0.5,0.1,0.6395833333333333,519,0.027683390144375253,0.13848247912061348,0.9518304431599229,42
0.5,0.15,0.7444444444444445,368,0.017818653500732244,0.07478135979037306,0.9483695652173914,40
0.5,0.2,0.8506944444444444,215,0.014951665156547805,0.10326337207942143,0.9441860465116279,35
0.5,0.3,0.9777777777777777,32,0.0020673554065724345,0.015672172688288022,0.96875,13
0.5,0.5,0.9951388888888889,7,0.0,0.0,1.0,4
0.5,-1.0,0.9006944444444445,143,0.028447224029788536,0.10085513296197679,0.993006993006993,10
1.0,0.02,0.009027777777777777,1427,0.07429959644265047,0.36293083787467406,0.9579537491240364,42
1.0,0.05,0.5506944444444445,647,0.038775890974672426,0.13848247912061348,0.9505409582689336,42
1.0,0.1,0.6013888888888889,574,0.035000007933106106,0.13848247912061348,0.9494773519163763,42
1.0,0.15,0.675,468,0.026889566432800806,0.13848247912061348,0.9487179487179487,42
1.0,0.2,0.7902777777777777,302,0.016874982150067924,0.07667118765173028,0.9403973509933775,39
1.0,0.3,0.9888888888888889,16,0.0010377961006064404,0.006226776603638642,0.9375,6
1.0,0.5,1.0,0,,,,0
1.0,-1.0,0.9006944444444445,143,0.03666330579932988,0.10085513296197679,1.0,10
