policy_a,policy_b,mean_diff,sd_diff,ci_lo,ci_hi,frac_diff_gt_0,n_draws
empirical,simple,-0.1754628144024119,0.014967480134274515,-0.2007802538110327,-0.14313813165763478,0.0,2000
empirical,surface,-0.16468746973573617,0.014641387958284454,-0.1916026938543632,-0.13331360815001836,0.0,2000
surface,simple,-0.01077534466667575,0.0077766528578360975,-0.027400060745886808,0.0020378314251390567,0.0655,2000
