network_id,station_id,gap_length,season_plurality,observed_recovery_loss,dur_season,simple,empirical,surface,support_status,horizon_group
chmi_berounka,0-203-1-186000,7.0,DJF,0.4832042235065075,0.2857295721324808,0.5225336690036173,0.4159946077797316,0.5315202890406742,direct,direct
chmi_berounka,0-203-1-186000,14.0,DJF,0.5233123019579426,0.4708851932070064,0.7050737651108161,1.4850117888568983,0.6832543313100757,interpolated,fallback
chmi_berounka,0-203-1-186000,30.0,MAM,0.6654486207552777,0.9407456021579343,0.8782516964887876,0.7993796159308151,0.7704727750089434,direct,direct
chmi_berounka,0-203-1-186000,60.0,DJF,0.9138854917187504,0.9509801317370232,1.0825359581178158,1.4850117888568983,0.9598855150750808,interpolated,fallback
chmi_berounka,0-203-1-186000,90.0,MAM,1.2321202060653458,1.4020199584317707,1.3124746261110372,1.244921781826693,1.2602255227303865,direct,direct
chmi_berounka,0-203-1-186000,180.0,DJF,3.1549587098978837,1.414687020145989,2.223008472855577,2.74249018452156,2.1949413520205527,direct,direct
chmi_berounka,0-203-1-186000,365.0,DJF,5.879213017479146,1.7698273859548541,4.286994069339211,1.4850117888568983,2.3390518273144365,extrapolated,fallback
chmi_berounka,0-203-1-187200,7.0,DJF,0.354332822026303,0.2857295721324808,0.5018382807879223,0.4185048611119469,0.4970386190520414,direct,direct
chmi_berounka,0-203-1-187200,14.0,DJF,0.5104524577623815,0.4708851932070064,0.728015317817067,1.4850117888568983,0.6451958248210897,interpolated,fallback
chmi_berounka,0-203-1-187200,30.0,MAM,0.608564092236809,0.9407456021579343,0.9598940307756434,0.8154553576599664,0.7308290436673105,direct,direct
chmi_berounka,0-203-1-187200,60.0,DJF,0.9120544830052576,0.9509801317370232,1.1625298674204154,1.4850117888568983,0.9170587709937762,interpolated,fallback
chmi_berounka,0-203-1-187200,90.0,MAM,1.1662462855443745,1.4020199584317707,1.3934576342706193,1.2497350603573727,1.2135608113639302,direct,direct
chmi_berounka,0-203-1-187200,180.0,DJF,3.0076600510766847,1.414687020145989,2.2815637015659744,2.6924110508381647,2.1224862740369925,direct,direct
chmi_berounka,0-203-1-187200,365.0,DJF,5.649839582773813,1.7698273859548541,4.3295728503956,1.4850117888568983,2.266090865184921,extrapolated,fallback
chmi_berounka,0-203-1-194500,7.0,DJF,0.5017016870634896,0.2857295721324808,0.3271142225351897,0.5937779479301492,0.577869483888702,direct,direct
chmi_berounka,0-203-1-194500,14.0,DJF,0.5833687749317286,0.4708851932070064,0.6690670628218509,1.4850117888568983,0.7339933723739164,interpolated,fallback
chmi_berounka,0-203-1-194500,30.0,MAM,0.7595987252421863,0.9407456021579343,1.0261909244752565,1.0371489538768377,0.8252789686192058,direct,direct
chmi_berounka,0-203-1-194500,60.0,DJF,1.1847141768618696,0.9509801317370232,1.2688132390931963,1.4850117888568983,1.0186972734693145,interpolated,fallback
