pair,mean_diff,sd_diff,ci_lo,ci_hi,frac_diff_lt_0,n_draws
proposed_vs_best_fixed,-0.008385461774548067,0.00422450774096213,-0.015005021423916211,-2.763650733642937e-05,0.976,2000
proposed_vs_global_CV,-0.07329253673050568,0.013202460689782446,-0.09945723925350024,-0.04795232162243025,1.0,2000
proposed_abstain_vs_best_fixed,-0.05401528793374267,0.01119489140552231,-0.07409878780493452,-0.03177320349064146,1.0,2000
proposed_abstain_vs_global_CV,-0.11892236288970028,0.013603112718926308,-0.14491342016005002,-0.09267561172215838,1.0,2000
