policy,budget,n_units,captured_loss,worst_decile_recall,ndcg,regret_pp,regret_pp_random_sd,captured_loss_sd,worst_decile_recall_sd,ndcg_sd
gap_length,0.05,1446,0.18067746332296492,0.4689655172413793,0.4797136886707842,2.423525102234994,,,,
gap_length,0.1,1446,0.31730483718037544,0.7379310344827587,0.6148561015233646,2.406216013799373,,,,
gap_length,0.2,1446,0.4990657985648149,0.9448275862068966,0.6391447076148217,2.9337692241713675,,,,
gap_length,0.3,1446,0.6110428790992625,1.0,0.6520770468151298,3.0803692506188307,,,,
dur_season,0.05,1446,0.15765420546916115,0.3793103448275862,0.3446569595686389,4.725850887615371,,,,
dur_season,0.1,1446,0.3163001386196467,0.7448275862068966,0.5719772241744249,2.5066858698722494,,,,
dur_season,0.2,1446,0.5043765669793528,0.9862068965517241,0.6034681836922724,2.402692382717575,,,,
dur_season,0.3,1446,0.6141620413245935,1.0,0.6117967014752337,2.7684530280857267,,,,
simple,0.05,1446,0.17968152317863748,0.4206896551724138,0.5216834229991162,2.523119116667738,,,,
simple,0.1,1446,0.31312196352568117,0.7379310344827587,0.5992284370033849,2.8245033792688004,,,,
simple,0.2,1446,0.5133788101380109,0.993103448275862,0.6352172883186923,1.5024680668517698,,,,
simple,0.3,1446,0.6156558386641713,1.0,0.6400096141354764,2.6190732941279493,,,,
empirical,0.05,1446,0.11555838026578752,0.22758620689655173,0.10173938206871945,8.935433407952734,,,,
empirical,0.1,1446,0.20451974808960402,0.2689655172413793,0.12027129371520022,13.684724922876516,,,,
empirical,0.2,1446,0.3361589602385148,0.35172413793103446,0.18160158141397434,19.224453056801377,,,,
empirical,0.3,1446,0.4829083880537837,0.5586206896551724,0.33745777932412485,15.893818355166706,,,,
surface,0.05,1446,0.15347576399564178,0.32413793103448274,0.354804693794717,5.143695034967307,,,,
surface,0.1,1446,0.28608557022864334,0.6,0.4452610043517691,5.528142708972583,,,,
surface,0.2,1446,0.5015204610738228,0.9448275862068966,0.5673692667059498,2.6883029732705843,,,,
surface,0.3,1446,0.6252972759920776,1.0,0.586127456178162,1.654929561337315,,,,
oracle,0.05,1446,0.20491271434531486,0.496551724137931,1.0,0.0,,,,
oracle,0.1,1446,0.34136699731836917,1.0,1.0,0.0,,,,
oracle,0.2,1446,0.5284034908065286,1.0,1.0,0.0,,,,
oracle,0.3,1446,0.6418465716054508,1.0,1.0,0.0,,,,
random,0.05,1446,0.05071459832702975,0.051724137931034496,0.046887645443484734,15.41981160182851,0.6295742233063834,0.006295742233063833,0.020516516938818643,0.022976541569954396
random,0.1,1446,0.10368599250342472,0.10862068965517242,0.07762301994913066,23.768100481494443,0.6231309369521327,0.006231309369521328,0.022227341199287338,0.018940503902319515
random,0.2,1446,0.20297855399945347,0.19862068965517243,0.12241126588751475,32.542493680707516,0.8951501210220068,0.008951501210220068,0.035138590904433095,0.02143490083083424
random,0.3,1446,0.30452948255604434,0.30758620689655175,0.1640077769142114,33.731708904940646,1.1739203373260911,0.011739203373260912,0.041574253443038715,0.02425457707499213
