station_id,n_approved_days,n_qualifying_years,first_date,last_date,median_annual_amplitude_degC,anomaly_sd_degC,acf30,acf90,n_exact_pairs_30d,n_exact_pairs_90d,seasonal_variance_fraction,observed_temperature_range_degC,memory_range_index_per_degC,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STATE,CLASS,AGGECOREGION,NDAMS_2009,STOR_NID_2009,STOR_NOR_2009,MAJ_NDAMS_2009,RAW_DIS_NEAREST_DAM,RAW_DIS_NEAREST_MAJ_DAM,upstream_major_dam_2009
02160105,7194,20,2000-01-01,2019-12-26,26.950000000000003,2.270146526949258,0.0888133745186162,0.06162973035206352,7062,6999,0.9134980547253407,30.7,0.002892943795394665,"TYGER RIVER NEAR DELTA, SC",1959.1,34.535416,-81.548158,SC,Non-ref,SEPlains,93.0,57.85,21.5,6.0,17.3,45.1,1
02160700,7279,20,2000-01-01,2019-12-31,26.200000000000003,2.262403640355175,0.09318075846140318,0.06871878101746923,7223,7163,0.9111840676207338,30.7,0.0030352038586776283,"ENOREE RIVER AT WHITMIRE ,SC",1146.9,34.509304,-81.598159,SC,Non-ref,SEPlains,67.0,22.13,9.43,4.0,18.1,37.3,1
02163001,6919,17,2000-01-01,2019-12-31,25.2,1.9806814788236167,0.22228251064467047,0.18920683421070297,6643,6526,0.9311659411240598,30.0,0.007409417021489016,"SALUDA RIVER NEAR WILLIAMSTON, SC",1087.2,34.614837,-82.444015,SC,Non-ref,SEPlains,82.0,165.48,71.7,5.0,0.4,26.8,1
02168504,7218,20,2000-01-01,2019-12-31,8.0,1.3297172862120323,0.7206110407973106,0.3431071859535805,7102,7042,0.7625245527375515,16.2,0.04448216301217967,"SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC",6274.6,34.050982,-81.209542,SC,Non-ref,SEPlains,285.0,527.78,481.84,11.0,0.8,0.8,1
02169000,7238,20,2000-01-01,2019-12-31,12.65,1.609292675437061,0.4452405619319349,0.11192458620293524,7145,7081,0.7720306746361215,17.4,0.025588538042065227,"SALUDA RIVER NEAR COLUMBIA, SC",6498.9,34.014042,-81.087872,SC,Non-ref,SEPlains,317.0,510.36,465.67,11.0,0.3,12.7,1
02203603,4499,12,2007-04-19,2019-12-31,22.35,2.1046094007987457,0.14143443320074833,0.11723333738109863,4357,4277,0.8804154811319891,26.9,0.005257785620845663,"SOUTH RIVER AT SPRINGDALE ROAD, AT ATLANTA, GA",6.0,33.683889,-84.415278,GA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
02203655,5930,16,2003-04-07,2019-12-31,23.85,2.2355115562876837,0.06684907219402146,0.053525122221513684,5728,5675,0.8843784033840562,27.0,0.0024758915627415357,"SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA",59.6,33.678997,-84.357981,GA,Non-ref,SEPlains,1.0,6.21,1.86,0.0,3.9,,0
02203700,5904,16,2003-06-04,2019-12-31,23.75,2.1773107373856724,0.06570486595804542,0.04063753899514836,5731,5675,0.8859362955921932,27.3,0.0024067716468148506,"INTRENCHMENT CREEK NEAR ATLANTA, GA",27.6,33.688997,-84.33048,GA,Non-ref,SEPlains,0.0,0.0,0.0,0.0,,,0
02207120,6594,18,2001-08-16,2019-12-31,23.65,2.1140433391492643,0.10594051937173811,0.07465304391274304,6446,6387,0.90056967790041,27.599999999999998,0.003838424614918048,"YELLOW RIVER AT GA 124, NEAR LITHONIA, GA",418.4,33.772885,-84.058248,GA,Non-ref,SEPlains,31.0,20.79,3.23,1.0,7.4,20.1,1
02207185,6747,18,2001-03-01,2019-12-31,22.15,2.0005206509732893,0.05999243131940834,0.0495226341207374,6589,6533,0.8886631968819386,25.8,0.002325288035635982,"NO BUSINESS CREEK AT LEE ROAD, BELOW SNELLVILLE,GA",26.2,33.778163,-84.037969,GA,Non-ref,SEPlains,2.0,65.01,3.67,0.0,3.4,,0
