model,term,coefficient_log_odds,robust_se,wald_p_value,coefficient_ci_low,coefficient_ci_high,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
primary_unadjusted,const,0.5126757671483062,0.11350950195577561,6.284371305887661e-06,0.2902012314119072,0.7351503028847053,1.6697530932559794,1.3366964462763158,2.0857954700222
primary_unadjusted,z_memory_range_index,0.2044372181489474,0.1397899439970379,0.14361516528844614,-0.06954603748611801,0.47842047378401287,1.2268344304914058,0.9328171878376753,1.613523785221126
adjusted_ecoregion_and_drainage,const,-22.920950430109542,117.46283571852314,0.8452883296197247,-253.14387796035993,207.30197710014085,1.1106000999601627e-10,1.1508286740235708e-110,1.0717777631653455e+90
adjusted_ecoregion_and_drainage,z_memory_range_index,0.9230956088433879,0.38562603862478073,0.016676725084299196,0.1672824616379659,1.67890875604881,2.517070206880381,1.1820881127011347,5.359704034149842
adjusted_ecoregion_and_drainage,z_log1p_drainage_area,2.3611242318676218,0.2545989591883596,1.794681634014123e-20,1.8621194413570539,2.8601290223781897,10.602864833011315,6.437365942822196,17.46378000965747
adjusted_ecoregion_and_drainage,ecoregion_CntlPlains,23.921947057095295,120.71080846457329,0.8429076113846312,-212.66689007818104,260.51078419237166,24500198514.460205,4.364587007488732e-93,1.3752955920412471e+113
adjusted_ecoregion_and_drainage,ecoregion_EastHghlnds,24.7375492199388,123.09652595178223,0.8407293980137677,-216.52720826755444,266.00230670743207,55383592354.02952,9.192386314174635e-95,3.3368291945123878e+115
adjusted_ecoregion_and_drainage,ecoregion_MxWdShld,24.192057526631146,123.4319321482606,0.844613978158427,-217.7300840261513,266.1141990794136,32097934737.956,2.7607428947715937e-95,3.73188469086804e+115
adjusted_ecoregion_and_drainage,ecoregion_NorthEast,25.383578180409685,127.18296852789929,0.8418066027208013,-223.89045958116412,274.65761594198347,105669082049.7892,5.829198616002061e-98,1.9155214355867845e+119
adjusted_ecoregion_and_drainage,ecoregion_SECstPlain,21.408860674657113,108.35748985664533,0.84337666034322,-190.96791689953196,233.7856382488462,1984952208.8648453,1.1579437686803824e-83,3.402613648474168e+101
adjusted_ecoregion_and_drainage,ecoregion_SEPlains,24.72070097360293,116.22682676544278,0.8315659672533686,-203.0796935240409,252.52109547124675,54458292673.680916,6.362235138153558e-89,4.661420988902641e+109
adjusted_ecoregion_and_drainage,ecoregion_WestMnts,23.048220009644183,116.49790059431879,0.8431683998461089,-205.283469429748,251.37990944903638,10226211435.37049,7.022989202421231e-90,1.4890440139769685e+109
adjusted_ecoregion_and_drainage,ecoregion_WestPlains,24.63921386986309,112.04419657533091,0.8259442050379378,-194.96337609451157,244.24180383423774,50196637024.84412,2.130500247190168e-85,1.1826810965767547e+106
adjusted_ecoregion_and_drainage,ecoregion_WestXeric,23.595035879492194,93.04525540560266,0.7998149008473058,-158.7703136478198,205.9603854068042,17668264117.57575,1.1141121044126817e-69,2.801940268775576e+89
