distance_bin_km,distance_lower_km,distance_upper_km,station_count,median_memory_range_index_per_degC,median_memory_range_index_per_degC_ci_low,median_memory_range_index_per_degC_ci_high,median_acf30,median_acf30_ci_low,median_acf30_ci_high,median_annual_amplitude_degC,median_annual_amplitude_degC_ci_low,median_annual_amplitude_degC_ci_high
"[0,5)",0.0,5.0,83,0.010996059729843265,0.007181182713467649,0.016473951952305815,0.2618255765688126,0.17874479826100817,0.32684237313551073,21.5,16.7,23.85
"[5,20)",5.0,20.0,61,0.006897517804393932,0.004214384980106264,0.01258725873019874,0.17181979042407092,0.11569523347314171,0.2634845084973922,23.5,19.5,26.2
"[20,50)",20.0,50.0,50,0.00611256477433207,0.003570471163387339,0.008798699715819506,0.15723473995062964,0.10594051937173811,0.1742595642165585,23.375,19.200000000000003,26.3
"[50,100)",50.0,100.0,14,0.004627313786240669,0.002697381888664177,0.0075866524293529075,0.13461322401962997,0.08173067122652455,0.1631130272310875,25.375,19.3,27.65
"[100,inf)",100.0,inf,1,0.002394969110924222,0.002394969110924222,0.002394969110924222,0.07041209186117212,0.07041209186117212,0.07041209186117212,27.2,27.2,27.2
