quantity,mean,ci_lo,ci_hi
regret_best_fixed,0.08150421094235165,0.05836359678673069,0.10338249319046972
regret_global_cv,0.08150421094235165,0.05836359678673069,0.10338249319046972
regret_proposed_l0.5,0.08517675210183176,0.06376148719609491,0.10503691037042234
regret_proposed_l0,0.08400068179203363,0.06327199879589995,0.10323539293481145
regret_per_net_cv,0.03838823855154557,0.030245596969992995,0.04615608995462478
regret_proposed_l0.5_abst,0.006669458051727961,0.0019331382162898127,0.012003285378598178
regret_proposed_l0_abst,0.016191007273554856,0.002234926838198092,0.032406351240138034
diff_proposed_l0.5_minus_best_fixed,0.003672541159480103,-0.02549643502156815,0.033017470952845164
diff_proposed_l0.5_minus_global_cv,0.003672541159480103,-0.02549643502156815,0.033017470952845164
diff_proposed_l0_minus_best_fixed,0.002496470849681964,-0.025529513188486907,0.03129475691723347
diff_proposed_l0_minus_global_cv,0.002496470849681964,-0.025529513188486907,0.03129475691723347
