quantity,mean,ci_lo,ci_hi
CapturedLoss@20%_empirical,0.33773195367358966,0.3018744380860713,0.37990596379949243
CapturedLoss@20%_gap_length,0.5000210582982423,0.4711871771878227,0.5295382679537358
CapturedLoss@20%_durseason,0.503949142896453,0.47546400902959596,0.5312878558257323
CapturedLoss@20%_simple,0.511945966091668,0.48520415504962944,0.537240888571427
CapturedLoss@20%_surface,0.5003695055424624,0.4628441255583986,0.5328001962550165
CapturedLoss@20%_random,0.2000212789899703,0.1805132654307399,0.2196318834003581
NDCG@20%_gap_length,0.8975357877813874,0.87646283697528,0.9211129787148777
NDCG@20%_durseason,0.8994319433877538,0.8705554603410967,0.9246577188006035
NDCG@20%_simple,0.9084296304654126,0.8788170265862296,0.9359744566680765
NDCG@20%_empirical,0.61682268354457,0.5715503318937749,0.6723242326775568
NDCG@20%_surface,0.8608168154400071,0.799778504158362,0.9170209699913071
diff_CapturedLoss@20%_empirical-simple,-0.17421401241807835,-0.1984204925339646,-0.13963304917435776
diff_CapturedLoss@20%_empirical-surface,-0.16263755186887277,-0.18748086431285507,-0.13273706641383837
diff_CapturedLoss@20%_surface-simple,-0.011576460549205539,-0.030818559232497808,0.003134800673569593
