policy,budget,k,CapturedLoss,worst_decile_recall,NDCG,regret_vs_oracle
durseason,0.05,73,0.16569446208811434,0.29122807017543856,0.767503326130064,0.04143904212349231
durseason,0.1,145,0.2955652271873596,0.5,0.8256458861902507,0.045801770131009556
durseason,0.2,290,0.5060509493909952,0.8421052631578947,0.8998732036706892,0.023318429611795644
durseason,0.3,434,0.6141561530246057,0.915204678362573,0.9077560117912957,0.02769041858084509
empirical,0.05,73,0.11690367395493297,0.19941520467836257,0.5568120683422215,0.09022983025667368
empirical,0.1,145,0.20451974808960402,0.2900584795321637,0.5841381539266085,0.13684724922876515
empirical,0.2,290,0.3367064112720444,0.3982456140350877,0.613667374594651,0.19266296773074637
empirical,0.3,434,0.48332090013393986,0.5225146198830409,0.6978214896116702,0.15852567147151092
gap_length,0.05,73,0.17147322701967335,0.2853801169590643,0.7837742863138055,0.03566027719193329
gap_length,0.1,145,0.3154282278868827,0.49064327485380116,0.8664785710764706,0.025938769431486486
gap_length,0.2,290,0.49819249845013813,0.7982456140350878,0.8925495560495121,0.031176880552652664
gap_length,0.3,434,0.6150741275074365,0.915204678362573,0.9111335285949361,0.02677244409801427
oracle,0.05,73,0.20713350421160664,0.33976608187134505,1.0,0.0
oracle,0.1,145,0.34136699731836917,0.5847953216374269,1.0,0.0
oracle,0.2,290,0.5293693790027908,0.8976608187134504,1.0,0.0
oracle,0.3,434,0.6418465716054508,0.932748538011696,1.0,0.0
random,0.05,73,0.050811061444884065,0.052982456140350874,0.22957932747809023,0.15632244276672258
random,0.1,145,0.10105368652297793,0.1014327485380117,0.27032092270773084,0.24031331079539126
random,0.2,290,0.20027761450401393,0.200233918128655,0.3357179338924269,0.3290917644987768
random,0.3,434,0.30082236269302165,0.30153508771929827,0.4040030080228193,0.34102420891242907
simple,0.05,73,0.18273283649877134,0.29502923976608186,0.8037410486509495,0.024400667712835306
simple,0.1,145,0.31312196352568117,0.5169590643274854,0.8532470121289933,0.028245033792688
simple,0.2,290,0.5145103019116739,0.8421052631578947,0.9085428132113547,0.01485907709111689
simple,0.3,434,0.6156558386641713,0.935672514619883,0.9076067382014286,0.026190732941279493
surface,0.05,73,0.15628863339788782,0.30467836257309944,0.6702160241508562,0.05084487081371883
surface,0.1,145,0.28608557022864334,0.5260233918128655,0.7534020267212411,0.05528142708972583
surface,0.2,290,0.5038934266920111,0.8064327485380117,0.8564885349715794,0.025475952310779704
surface,0.3,434,0.6252972759920776,0.9415204678362574,0.8841557391284521,0.01654929561337315
