rule,budget,fraction_abstained,n_abstained,n_released,captured_loss_released_surface,oracle_captured_released,abstained_loss_share
surface_extrapolated,0.05,0.08575380359612725,124,1322,0.1398306220164472,0.1647082352941353,0.28925666736550915
surface_extrapolated,0.1,0.08575380359612725,124,1322,0.2557770587558749,0.2870657528878855,0.28925666736550915
surface_extrapolated,0.2,0.08575380359612725,124,1322,0.4312150239185102,0.4516812129157298,0.28925666736550915
surface_extrapolated,0.3,0.08575380359612725,124,1322,0.5461164080968876,0.5720623991334851,0.28925666736550915
old_fallback_tier,0.05,0.39557399723374825,572,874,0.12081286431896776,0.15302596157979848,0.4658962604460468
old_fallback_tier,0.1,0.39557399723374825,572,874,0.23769090972920764,0.2752014703753585,0.4658962604460468
old_fallback_tier,0.2,0.39557399723374825,572,874,0.43447598086901257,0.4610817659019795,0.4658962604460468
old_fallback_tier,0.3,0.39557399723374825,572,874,0.5750450917209846,0.591803259117118,0.4658962604460468
union,0.05,0.39557399723374825,572,874,0.12081286431896776,0.15302596157979848,0.4658962604460468
union,0.1,0.39557399723374825,572,874,0.23769090972920764,0.2752014703753585,0.4658962604460468
union,0.2,0.39557399723374825,572,874,0.43447598086901257,0.4610817659019795,0.4658962604460468
union,0.3,0.39557399723374825,572,874,0.5750450917209846,0.591803259117118,0.4658962604460468
