n,n_networks,intercept,slope,r2,resid_sd,panels,family
119,8,0.018640728392362037,1.0226375048582659,0.9245833558259497,0.24968578619696835,first,seasonal_boundary_ridge
119,8,-0.005116506301550132,1.0388956969108118,0.9279954538213949,0.21246456740514236,first,donor_blup_ridge
673,42,0.024015403696076767,0.9821725255027819,0.9200516965937293,0.23850410046363651,dev+first,xgboost_b_d
