geometry,network_id,n_matched_items,observed_loss,simple_prediction,empirical_prediction,empirical_supported_fraction
natural,huc8_01070004,12,1.0191770940579288,0.9387003328416045,1.7166782035998238,0.0
natural,huc8_01090001,35,0.8400496962965601,0.649802457882015,1.3376141393690775,0.2
natural,huc8_01090004,60,0.7592349890913791,0.6501444837178535,0.8745126319063145,0.1
natural,huc8_02020006,17,0.7093357022281057,0.5078719341688135,1.640684859605418,0.17647058823529413
natural,huc8_02040106,100,1.064899530564826,0.7630486497453233,1.4629901883567766,0.1
natural,huc8_02040205,254,1.1992767248328062,0.760215360430314,1.0346649213729973,0.14173228346456693
natural,huc8_02060003,7,0.6221838164775239,0.45386922469246543,0.8259506986983967,0.0
natural,huc8_02070002,10,0.8804617944659651,0.9123448297169265,1.2083382002031517,0.2
natural,huc8_02070010,23,0.7954601038392994,0.5797268485858941,0.7885210312863274,0.2608695652173913
natural,huc8_03050106,36,0.9634976495185129,0.7398264790961532,1.5427449344299353,0.2777777777777778
natural,huc8_03050109,26,0.5920391240176769,0.5555045423196858,1.1303275597487703,0.19230769230769232
natural,huc8_03070101,7,0.45304363771047756,0.43327834397179765,0.5773248456906772,0.2857142857142857
natural,huc8_03070103,30,0.46758112071636704,0.7161349649156769,0.44079312819397637,0.26666666666666666
natural,huc8_03080103,48,0.7356238925174033,1.0376587946314029,0.9215770611301508,0.08333333333333333
natural,huc8_03090101,48,1.0854395923403852,0.9028297339129955,1.3296687154414089,0.10416666666666667
natural,huc8_03090204,24,0.6131657763857769,0.7150579167194179,0.6309076910033838,0.125
natural,huc8_03100101,12,0.8037920184397511,0.9314258448068674,0.7296270649629716,0.08333333333333333
natural,huc8_03100204,2,0.5573282909393308,0.9572933243608177,1.0740029779714417,0.0
natural,huc8_03100205,3,0.28625239693508814,0.7130413614791898,0.8211238828598507,0.0
natural,huc8_03100207,6,0.2631383251146149,0.8111662892850742,0.34157102793665367,0.16666666666666666
natural,huc8_03150104,3,1.7143555764335667,1.5532208511404353,0.8691333831784357,0.0
natural,huc8_03160111,39,0.7186566617797217,0.5490097015623017,0.788949414625243,0.20512820512820512
natural,huc8_04020105,14,0.4421147237329424,0.46800574114659643,0.7526802343995053,0.07142857142857142
natural,huc8_04040003,18,1.317598737854552,0.7829714582370023,1.2255880461126694,0.1111111111111111
natural,huc8_04060102,22,0.6838363159699662,0.7194628361786093,1.0022311029173994,0.13636363636363635
natural,huc8_04060103,24,0.7917628649380178,0.8574609664845028,0.8322483008464253,0.20833333333333334
natural,huc8_04070007,30,0.9627823932401379,0.8849298742031148,0.938468868349328,0.13333333333333333
natural,huc8_05010005,4,0.9309812993745683,1.4354863168165448,0.8533275920499487,0.0
natural,huc8_05010006,23,0.7523283389254405,0.8462426876447005,0.7463553965442102,0.17391304347826086
natural,huc8_05010007,21,1.007261464007162,0.7620762540412466,1.6978194247002796,0.14285714285714285
natural,huc8_05020001,7,0.9503910767339648,1.0543848182192639,1.9443692059144249,0.14285714285714285
natural,huc8_05020005,9,1.3836277657305038,0.8719380934846247,1.2668706637428708,0.2222222222222222
natural,huc8_05020006,20,0.3768336178284143,0.6248995313356872,0.9381419178007532,0.05
natural,huc8_05030102,17,1.1013689496314782,0.7853376735401489,0.9605070500004631,0.058823529411764705
natural,huc8_05040001,17,0.47642980253955175,0.414362226955302,0.596989352506486,0.11764705882352941
natural,huc8_05040005,12,0.7970560715002454,0.5433230688243553,0.6665544592114958,0.0
natural,huc8_05090203,11,0.8803531340743022,0.5124102960521856,0.601823901708673,0.18181818181818182
natural,huc8_05120201,29,1.3727788420632363,1.0270643222808604,1.8764955016268883,0.1724137931034483
natural,huc8_05130202,16,0.3772986133609665,0.9371231526309626,1.4705200740101034,0.125
natural,huc8_05140101,22,1.322498742423538,0.749741227518575,1.6773449710580302,0.13636363636363635
natural,huc8_07040006,35,0.6276232286253349,0.5802836445977679,0.9014214264312741,0.2
natural,huc8_10230006,13,1.2354074548368095,1.049973838566684,1.7264049846089193,0.15384615384615385
