network_id,station_id,gap_length,plant_start,acf30,donor_r2,donor_r2_estimator,heuristic_explained_variance,recoverability_r,predicted_skill,predicted_conditional_risk,donor_mae,fill_mae,climate_mae,observed_recovery_loss,achieved_skill,achieved_skill_mode,n_gap_days_with_donor,n_fill_donors,reason
delaware_river_huc20,01427301,30,2000-12-31,0.02623509813210451,0.8692693520374762,year_block_cv,0.8839879774790214,0.9658264142979709,0.9663661244022307,0.1760920879940378,0.2306717832003378,0.2306717832003378,1.1142857142857143,0.2306717832003378,0.792986861230466,gap_specific,30,3,
delaware_river_huc20,01427301,90,2000-12-31,0.024916160841831788,0.8686663924796207,year_block_cv,0.8712823528260955,0.9846628542095188,0.9850335715260031,0.07821816240314584,0.2728624239127439,0.2728624239127439,1.1174603174603175,0.2728624239127439,0.7558191376917207,gap_specific,90,3,
delaware_river_huc20,01427207,30,2018-01-01,0.15321098853634318,0.8850181810976315,year_block_cv,0.9017649127571397,0.9379803341686264,0.9381766129886338,0.3089864431752225,0.31565522749128583,0.31565522749128583,1.1775757575757575,0.31565522749128583,0.7319448660007094,gap_specific,30,4,
delaware_river_huc20,01427207,90,2018-01-01,0.15321098853634318,0.8850181810976315,year_block_cv,0.8883148024621221,0.9393990969073025,0.9401107967551949,0.29931960686347053,0.3310819159692425,0.3310819159692425,0.9808181818181819,0.3310819159692425,0.6624431295150925,gap_specific,90,4,
delaware_river_huc20,01427510,30,2018-01-01,0.10281466465214108,0.9553930187800144,year_block_cv,0.9609709710605094,0.9562084177320025,0.9567156438487714,0.24772562097016826,0.086523242165937,0.086523242165937,0.8259259259259261,0.086523242165937,0.8952409175569372,gap_specific,30,4,
delaware_river_huc20,01427510,90,2018-01-01,0.10281466465214108,0.9553930187800144,year_block_cv,0.9567111528502072,0.9642034460125459,0.9644767885505661,0.20330693113280443,0.1561034905569268,0.1561034905569268,0.8475925925925926,0.1561034905569268,0.8158272123645609,gap_specific,90,4,
delaware_river_huc20,01432160,30,2018-01-01,0.13079922915191236,0.9355975760823064,year_block_cv,0.9455160689803891,0.9637645573684595,0.9639187890464936,0.21316143992939374,0.21769077523063313,0.21769077523063313,0.4429411764705882,0.21769077523063313,0.5085334423744006,gap_specific,30,4,
delaware_river_huc20,01432160,90,2018-01-01,0.13079922915191236,0.9355975760823064,year_block_cv,0.9378169931801265,0.9612465930130649,0.9619650067516962,0.2247040416398587,0.2077925487809205,0.2077925487809205,0.7529125816993465,0.2077925487809205,0.7240150399506853,gap_specific,90,4,
delaware_river_huc20,01432805,30,2018-01-20,0.1282026085537944,0.9553238701331168,year_block_cv,0.9614078551070553,0.9620543805448716,0.9625912953416191,0.22571289755683963,0.17823420861262296,0.17823420861262296,0.3341884531590414,0.17823420861262296,0.46666556869994336,gap_specific,30,4,
delaware_river_huc20,01432805,90,2018-05-23,0.1282026085537944,0.9553238701331168,year_block_cv,0.9570341383371294,0.9681629961079796,0.9685684380248035,0.1896486123469546,1.7422436368106218,1.7422436368106218,2.219950072621641,1.7422436368106218,0.21518791872957477,gap_specific,90,4,
delaware_river_huc20,01477050,30,2018-01-24,0.23467906375738992,0.3292513043280664,year_block_cv,0.6665531414662105,0.9096414114032958,0.9110234858734302,0.5193158042758039,2.2510039221863254,2.2510039221863254,1.456111111111111,2.2510039221863254,-0.5459012056220474,gap_specific,30,4,
delaware_river_huc20,01477050,90,2018-01-24,0.23467906375738992,0.3292513043280664,year_block_cv,0.4034914185207361,0.8917050860644407,0.8938012775268106,0.6198340709973752,2.019492169573736,2.019492169573736,1.817385413424629,2.019492169573736,-0.11120742725026211,gap_specific,90,4,
willamette_river_huc17,14158100,30,2018-01-01,0.5728766005932654,0.7692334690976057,year_block_cv,0.8865336679659515,0.9623010924077309,0.9630961580676554,0.13036910199020302,0.4064117982038408,0.4064117982038408,1.061190476190476,0.4064117982038408,0.6170227613964254,gap_specific,30,5,
willamette_river_huc17,14158100,90,2018-01-01,0.5728766005932654,0.7692334690976057,year_block_cv,0.8492938888601567,0.9700948591771983,0.9712741743684395,0.10147886765771638,0.30676404000016255,0.30676404000016255,0.9523015873015873,0.30676404000016255,0.6778709139093217,gap_specific,90,5,
willamette_river_huc17,14166000,30,2018-01-01,0.3659744437003068,0.9339460927712308,year_block_cv,0.9511797571406652,0.9782178889224441,0.9786755389336074,0.0765279685273757,0.19991131876113666,0.19991131876113666,0.9945098039215686,0.19991131876113666,0.7989850698576899,gap_specific,30,5,
willamette_river_huc17,14166000,90,2018-01-01,0.3659744437003068,0.9339460927712308,year_block_cv,0.9448576659760952,0.9795748309745665,0.9805058529153112,0.06995944563008194,0.17513248124240874,0.17513248124240874,0.9437254901960784,0.17513248124240874,0.8144243394273251,gap_specific,90,5,
willamette_river_huc17,14174000,30,2018-01-01,0.32564832877086347,0.8770483959600062,year_block_cv,0.9035392773289318,0.9763129657719972,0.9766086652772362,0.092923735593052,0.14251552114237123,0.14251552114237123,0.9666872710622713,0.14251552114237123,0.8525732929267145,gap_specific,30,5,
willamette_river_huc17,14174000,90,2018-01-01,0.32564832877086347,0.8770483959600062,year_block_cv,0.8933077744387659,0.9834305064038366,0.9837603446248664,0.0645131823423758,0.14866425680303877,0.14866425680303877,1.0034790903540904,0.14866425680303877,0.8518511663749957,gap_specific,90,5,
willamette_river_huc17,14192015,30,2018-01-01,0.31232820457504656,0.9571069440827816,year_block_cv,0.9650643202221362,0.9830974602615438,0.9833107272816617,0.06989564398357143,0.08761273885187312,0.08761273885187312,0.9464583333333335,0.08761273885187312,0.9074309604910872,gap_specific,30,5,
