scope,level,model,added,r2,delta_r2
gap_30,station,gap_length,gap_length,0.0,0.0
gap_30,station,gap_length+acf30,acf30,0.014627118153267893,0.014627118153268115
gap_30,station,gap_length+acf30+donor_r2,donor_r2,0.4641288830158601,0.4495017648625922
gap_30,station,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.4901988153770398,0.026069932361179715
gap_30,station,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.4931968998178444,0.002998084440804627
gap_30,network,gap_length,gap_length,0.0,0.0
gap_30,network,gap_length+acf30,acf30,0.2274226314105512,0.2274226314105512
gap_30,network,gap_length+acf30+donor_r2,donor_r2,0.6645005751653614,0.43707794375481024
gap_30,network,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.6893892408341447,0.024888665668783228
gap_30,network,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,,
gap_90,station,gap_length,gap_length,0.0,0.0
gap_90,station,gap_length+acf30,acf30,0.013796271594076703,0.013796271594076592
gap_90,station,gap_length+acf30+donor_r2,donor_r2,0.586726154087404,0.5729298824933273
gap_90,station,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.6030989957691676,0.01637284168176356
gap_90,station,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.6033136930378906,0.00021469726872302974
gap_90,network,gap_length,gap_length,0.0,0.0
gap_90,network,gap_length+acf30,acf30,0.29993858626779657,0.29993858626779624
gap_90,network,gap_length+acf30+donor_r2,donor_r2,0.7640848219492477,0.4641462356814511
gap_90,network,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.7755258839850865,0.011441062035838834
gap_90,network,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,,
pooled_gaps,station,gap_length,gap_length,0.00014466981740002272,0.00014466981740002272
pooled_gaps,station,gap_length+acf30,acf30,0.014298983738220805,0.014154313920820782
pooled_gaps,station,gap_length+acf30+donor_r2,donor_r2,0.5158727075927454,0.5015737238545246
pooled_gaps,station,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.5269866418380467,0.011113934245301271
pooled_gaps,station,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.528362021800922,0.0013753799628752894
pooled_gaps,network,gap_length,gap_length,0.0006301134800008601,0.0006301134800008601
pooled_gaps,network,gap_length+acf30,acf30,0.2638219275533269,0.26319181407332604
pooled_gaps,network,gap_length+acf30+donor_r2,donor_r2,0.7139799768558621,0.4501580493025352
pooled_gaps,network,gap_length+acf30+donor_r2+heuristic_explained_variance,heuristic_explained_variance,0.7324861970571439,0.018506220201281787
pooled_gaps,network,gap_length+acf30+donor_r2+heuristic_explained_variance+recoverability_r,recoverability_r,0.7326342183601919,0.0001480213030480293
