rho,m_training_pairs,true_conditional_sd,plug_in_mean_ratio,plug_in_median_ratio,plug_in_p_underestimate,residual_sd_mean_ratio,residual_sd_p_underestimate,residual_sd_p_less_than_0p8
0.5,5,0.8660254037844386,0.8670119283324493,0.9204266189561258,0.6046666666666667,0.9031635257029241,0.6566666666666666,0.4063333333333333
0.5,20,0.8660254037844386,0.9825127667539054,0.9987619272310517,0.506,0.969854851098675,0.5936666666666667,0.13233333333333333
0.5,50,0.8660254037844386,0.9914005720402547,0.9974489215250812,0.5133333333333333,0.987655425827282,0.5583333333333333,0.023333333333333334
0.5,200,0.8660254037844386,0.9980457674132087,0.9999585695274209,0.5,0.9972028625991642,0.525,0.0
0.5,1000,0.8660254037844386,0.9997552109772153,0.9996921499004975,0.5083333333333333,0.9990621240831624,0.517,0.0
0.9,5,0.4358898943540673,0.9363120795751186,0.8459953420592266,0.623,0.9483648346860709,0.5976666666666667,0.343
0.9,20,0.4358898943540673,0.9914310013888621,0.9767429151194651,0.544,0.9755637441035472,0.5856666666666667,0.117
0.9,50,0.4358898943540673,0.9974993726815452,0.9920642169910123,0.529,0.9956454857484849,0.5296666666666666,0.02033333333333333
0.9,200,0.4358898943540673,0.9999968170798853,0.9986856082712268,0.513,0.9994991313329272,0.5126666666666667,0.0
0.9,1000,0.4358898943540673,0.9997172552974274,0.998543760037105,0.522,0.9995142213516833,0.5186666666666667,0.0
