sigma,n_samples,n_reps,expected_mae_theory,mc_mean_abs_error,mc_mae_sd_across_reps,rmse_theory,mc_rmse,mc_rmse_sd_across_reps
0.3,100,2000,0.2393653682408596,0.23967609459099373,0.017737196017579403,0.3,0.2996514900057303,0.020623207791783234
0.3,1000,2000,0.2393653682408596,0.23925690808365585,0.005667702393668961,0.3,0.2998253338791378,0.006693079935051317
0.3,10000,2000,0.2393653682408596,0.23931248256996226,0.0018519913151206536,0.3,0.29994438648320754,0.002169300272670115
0.5,100,2000,0.3989422804014327,0.39881354458519946,0.02949320580530621,0.5,0.49884710640909924,0.03497015146546492
0.5,1000,2000,0.3989422804014327,0.39849228286453864,0.009481651574605596,0.5,0.4995183023844081,0.0110958578350091
0.5,10000,2000,0.3989422804014327,0.39902217354938585,0.0030909598300980293,0.5,0.5000854765353436,0.003591545574646821
1.0,100,2000,0.7978845608028654,0.7987074894997138,0.0600540813265072,1.0,0.9990765169749657,0.0707912653748533
1.0,1000,2000,0.7978845608028654,0.7975779758354374,0.018834539691795528,1.0,0.999605190874888,0.022428101914563
1.0,10000,2000,0.7978845608028654,0.797841017169095,0.005900100758244355,1.0,0.9999265519681435,0.006832792389025194
