test,variant,r2_without_operator,r2_with_operator,r2_increment,rmse_without_operator,rmse_with_operator,rmse_increment,n,r2_simple,r2_simple_plus_operator,max_abs_diff_vs_published,marginal_r2_increment,conditional_r2_increment,likelihood_ratio,likelihood_ratio_p
learned_error_model_lono,raw_operator,0.7323382348668483,0.743215477157439,0.010877242290590616,0.589417609625356,0.5773170183786838,-0.012100591246672288,1200.0,,,,,,,
learned_error_model_lono,expected_mae_transform,0.7323382348668483,0.743215477157439,0.010877242290590616,0.589417609625356,0.5773170183786838,-0.012100591246672288,1200.0,,,,,,,
learned_error_model_lono,sd_scale_operator,0.7323382348668483,0.743215477157439,0.010877242290590616,0.589417609625356,0.5773170183786838,-0.012100591246672288,1200.0,,,,,,,
nested_linear_operator_increment,raw,,,0.01709610727964661,,,,,0.6799264827400551,0.6970225900197017,9.769962616701378e-15,,,,
nested_linear_operator_increment,expected_mae_transform,,,0.017096107279645167,,,,,0.6799264827400551,0.6970225900197002,7.993605777301127e-14,,,,
nested_linear_operator_increment,sd_scale,,,0.017096107279648387,,,,,0.6799264827400551,0.6970225900197035,1.438849039914203e-13,,,,
mixed_model_operator_increment,raw,,,,,,,,,,,0.009025432333879979,0.0012386834850899309,19.985863409889134,7.801681976519499e-06
mixed_model_operator_increment,expected_mae_transform,,,,,,,,,,,0.00902543233385067,0.0012386834851061401,19.985863409889134,7.801681976519499e-06
mixed_model_operator_increment,sd_scale,,,,,,,,,,,0.00902543233385067,0.0012386834851061401,19.985863409889134,7.801681976519499e-06
