configuration,sigma_true,expected_mae,realized_mean_abs_error,realized_rmse,n_draws
scale_0.5,0.4024091588645447,0.32107605498368774,0.32025971261204844,0.40165958508114374,300000
scale_1.0,0.5690924900893888,0.454070111511181,0.45426227984610906,0.5691657091665218,300000
scale_2.0,0.8048183177290894,0.6421521099673755,0.642202608854951,0.8049893685376346,300000
scale_4.0,1.1381849801787776,0.908140223022362,0.906955207904502,1.1382605819401337,300000
