network_id,station_id,gap_length,prediction,observed,n_placements,sources,tier,all_placements_same_tier,panel,observed_recovery_loss,effective_support,distance_to_nearest_supported_cell
chmi_blanice,0-203-1-147000,14,1.4955686925480314,0.8622384081841025,20,network_mean_fallback,network_mean_fallback,True,second,0.8622384081841025,1280.0,7.0
chmi_blanice,0-203-1-147000,30,1.2342341590746906,1.1347354493019934,20,station_gap_season,station_gap_season,True,second,1.1347354493019934,20.0,0.0
chmi_blanice,0-203-1-147000,60,1.4955686925480314,1.4239667307367032,20,network_mean_fallback,network_mean_fallback,True,second,1.4239667307367032,1280.0,30.0
chmi_blanice,0-203-1-147000,90,1.7481579817797883,1.614013293498386,20,station_gap_season,station_gap_season,True,second,1.614013293498386,20.0,0.0
chmi_blanice,0-203-1-147000,180,3.2058546083901946,3.0358036615634925,20,station_gap_season,station_gap_season,True,second,3.0358036615634925,20.0,0.0
chmi_blanice,0-203-1-147000,365,1.4955686925480314,5.918544804893348,20,network_mean_fallback,network_mean_fallback,True,second,5.918544804893348,1280.0,185.0
chmi_blanice,0-203-1-148000,7,0.18033829595172218,0.23097286485490326,20,station_gap_season,station_gap_season,True,second,0.2309728648549032,20.0,0.0
chmi_blanice,0-203-1-148000,14,1.4955686925480314,0.24542541159523848,20,network_mean_fallback,network_mean_fallback,True,second,0.2454254115952384,1280.0,7.0
chmi_blanice,0-203-1-148000,30,0.2874393968562269,0.512045604596499,20,station_gap_season,station_gap_season,True,second,0.512045604596499,20.0,0.0
chmi_blanice,0-203-1-148000,60,1.4955686925480314,0.8519837741072436,20,network_mean_fallback,network_mean_fallback,True,second,0.8519837741072436,1280.0,30.0
chmi_blanice,0-203-1-148000,90,0.6365969330180036,1.2000928563535234,20,station_gap_season,station_gap_season,True,second,1.2000928563535234,20.0,0.0
chmi_blanice,0-203-1-148000,180,1.8172650981311125,3.0870879976723726,20,station_gap_season,station_gap_season,True,second,3.0870879976723726,20.0,0.0
chmi_blanice,0-203-1-148000,365,1.4955686925480314,5.460305049151752,20,network_mean_fallback,network_mean_fallback,True,second,5.460305049151752,1280.0,185.0
chmi_blanice,0-203-1-165600,7,0.45661333853100966,0.4986803591819037,20,station_gap_season,station_gap_season,True,second,0.4986803591819037,20.0,0.0
chmi_blanice,0-203-1-165600,14,1.4955686925480314,0.644182336680473,20,network_mean_fallback,network_mean_fallback,True,second,0.644182336680473,1280.0,7.0
