k,proposed_worst_case_mae,best_non_oracle_policy,best_non_oracle_worst_case_mae,worst_case_reduction,meets_provisional_15pct,oracle_worst_case_mae
2,0.930887270876083,random,1.02054705159875,0.08785462716511638,False,0.9276887395642187
3,0.9233242226357492,random,0.9638787124365402,0.042074266479311895,False,0.9207213401681416
4,0.9174036957336619,random,0.9498453630172086,0.034154683011237585,False,0.9147703659463001
