river,target,donors,geometry,n_donors,gap_length,v_donor,v_boundary,tau,recoverability_none,recoverability_boundary,recoverability_donor,recoverability_both,sign,epsilon
advection_chain,3,"0,1",upstream_only,2,30,0.07395845987581029,0.024102215356028522,-1.1211718547092828,0.0,0.032513468881886,0.08236971340166777,0.10647192875769629,donor_dominant,1e-06
advection_chain,3,"0,2",upstream_only,2,30,0.17804674068599724,0.015566500793136817,-2.4368662617196524,0.0,0.032513468881886,0.19499370877474642,0.21056020956788324,donor_dominant,1e-06
advection_chain,3,"0,4",one_upstream_one_downstream,2,30,0.18645593809665106,0.014217581937315704,-2.5736506212112222,0.0,0.03251346888188622,0.20475182504122158,0.21896940697853728,donor_dominant,1e-06
advection_chain,3,"0,5",one_upstream_one_downstream,2,30,0.09378283495815054,0.020880629671175766,-1.5021226966052525,0.0,0.032513468881886,0.10541567416886077,0.12629630384003654,donor_dominant,1e-06
advection_chain,3,"1,2",upstream_only,2,30,0.17802862225786176,0.01554006412656539,-2.4384641344172366,0.0,0.032513468881886,0.19500202701318237,0.21054209113974776,donor_dominant,1e-06
advection_chain,3,"1,4",one_upstream_one_downstream,2,30,0.2015745396560572,0.012767484636339033,-2.759184200671005,0.0,0.03251346888188611,0.22132052390160428,0.23408800853794332,donor_dominant,1e-06
advection_chain,3,"1,5",one_upstream_one_downstream,2,30,0.11949050260437621,0.018269469318507814,-1.8779592029386598,0.0,0.03251346888188611,0.1337345021677545,0.15200397148626232,donor_dominant,1e-06
advection_chain,3,"2,4",one_upstream_one_downstream,2,30,0.25857863769333345,0.009508491191402957,-3.302913350041166,0.0,0.032513468881885665,0.28158361538381615,0.2910921065752191,donor_dominant,1e-06
advection_chain,3,"2,5",one_upstream_one_downstream,2,30,0.20134038625273865,0.012760583033790351,-2.7585625739800355,0.0,0.03251346888188544,0.22109327210083374,0.2338538551346241,donor_dominant,1e-06
advection_chain,3,"4,5",downstream_only,2,30,0.1818336332535445,0.01459361664551917,-2.522444927735238,0.0,0.03251346888188622,0.19975348548991156,0.21434710213543073,donor_dominant,1e-06
