n_networks,stations_per_network,slope,noise,spearman_min,n_replicates,power,mean_spearman
6,4,1.0,0.25,0.6,80,0.675,0.6571428571428573
8,4,1.0,0.25,0.6,80,0.625,0.6270833333333334
12,4,1.0,0.25,0.6,80,0.7375,0.6696678321678322
16,4,1.0,0.25,0.6,80,0.775,0.7015441176470588
20,4,1.0,0.25,0.6,80,0.9125,0.7167293233082705
