held_out_network,slope,sign
net0,0.8583973184031198,1.0
net1,0.9608370466205253,1.0
net2,0.8840727521432217,1.0
net3,0.918442401162778,1.0
net4,0.8917604906274154,1.0
net5,0.9721659430372251,1.0
net6,0.9310847692165138,1.0
net7,0.9032425589376114,1.0
