method,criterion,c,family,share
proposed,a_ambiguity_margin,0.1,seasonal_ridge,0.0
proposed,a_ambiguity_margin,0.1,donor_ridge,0.2361111111111111
proposed,a_ambiguity_margin,0.1,xgboost,0.7638888888888888
best_fixed,a_ambiguity_margin,0.1,seasonal_ridge,0.0
best_fixed,a_ambiguity_margin,0.1,donor_ridge,0.0
best_fixed,a_ambiguity_margin,0.1,xgboost,1.0
global_cv,a_ambiguity_margin,0.1,seasonal_ridge,0.0
global_cv,a_ambiguity_margin,0.1,donor_ridge,0.0
global_cv,a_ambiguity_margin,0.1,xgboost,1.0
per_net_cv,a_ambiguity_margin,0.1,seasonal_ridge,0.0
per_net_cv,a_ambiguity_margin,0.1,donor_ridge,0.4444444444444444
per_net_cv,a_ambiguity_margin,0.1,xgboost,0.5555555555555556
gap_rule,a_ambiguity_margin,0.1,seasonal_ridge,0.0
gap_rule,a_ambiguity_margin,0.1,donor_ridge,0.0
gap_rule,a_ambiguity_margin,0.1,xgboost,1.0
random,a_ambiguity_margin,0.1,seasonal_ridge,0.0
random,a_ambiguity_margin,0.1,donor_ridge,0.9930555555555556
random,a_ambiguity_margin,0.1,xgboost,0.006944444444444444
oracle,a_ambiguity_margin,0.1,seasonal_ridge,0.0
oracle,a_ambiguity_margin,0.1,donor_ridge,0.3541666666666667
oracle,a_ambiguity_margin,0.1,xgboost,0.6458333333333334
proposed,a_ambiguity_margin,0.5,seasonal_ridge,0.0
proposed,a_ambiguity_margin,0.5,donor_ridge,0.5083333333333333
proposed,a_ambiguity_margin,0.5,xgboost,0.49166666666666664
best_fixed,a_ambiguity_margin,0.5,seasonal_ridge,0.0
best_fixed,a_ambiguity_margin,0.5,donor_ridge,0.0
best_fixed,a_ambiguity_margin,0.5,xgboost,1.0
global_cv,a_ambiguity_margin,0.5,seasonal_ridge,0.0
global_cv,a_ambiguity_margin,0.5,donor_ridge,0.0
global_cv,a_ambiguity_margin,0.5,xgboost,1.0
per_net_cv,a_ambiguity_margin,0.5,seasonal_ridge,0.0
per_net_cv,a_ambiguity_margin,0.5,donor_ridge,0.4666666666666667
per_net_cv,a_ambiguity_margin,0.5,xgboost,0.5333333333333333
gap_rule,a_ambiguity_margin,0.5,seasonal_ridge,0.0
gap_rule,a_ambiguity_margin,0.5,donor_ridge,0.5763888888888888
gap_rule,a_ambiguity_margin,0.5,xgboost,0.4236111111111111
random,a_ambiguity_margin,0.5,seasonal_ridge,0.002777777777777778
random,a_ambiguity_margin,0.5,donor_ridge,0.9902777777777778
random,a_ambiguity_margin,0.5,xgboost,0.006944444444444444
oracle,a_ambiguity_margin,0.5,seasonal_ridge,0.001388888888888889
oracle,a_ambiguity_margin,0.5,donor_ridge,0.4222222222222222
oracle,a_ambiguity_margin,0.5,xgboost,0.5763888888888888
proposed,a_ambiguity_margin,0.7,seasonal_ridge,0.0
proposed,a_ambiguity_margin,0.7,donor_ridge,0.5575396825396826
proposed,a_ambiguity_margin,0.7,xgboost,0.44246031746031744
best_fixed,a_ambiguity_margin,0.7,seasonal_ridge,0.0
best_fixed,a_ambiguity_margin,0.7,donor_ridge,0.0
best_fixed,a_ambiguity_margin,0.7,xgboost,1.0
global_cv,a_ambiguity_margin,0.7,seasonal_ridge,0.0
global_cv,a_ambiguity_margin,0.7,donor_ridge,0.0
global_cv,a_ambiguity_margin,0.7,xgboost,1.0
per_net_cv,a_ambiguity_margin,0.7,seasonal_ridge,0.0
per_net_cv,a_ambiguity_margin,0.7,donor_ridge,0.4801587301587302
per_net_cv,a_ambiguity_margin,0.7,xgboost,0.5198412698412699
gap_rule,a_ambiguity_margin,0.7,seasonal_ridge,0.0
gap_rule,a_ambiguity_margin,0.7,donor_ridge,0.6785714285714286
gap_rule,a_ambiguity_margin,0.7,xgboost,0.32142857142857145
random,a_ambiguity_margin,0.7,seasonal_ridge,0.00496031746031746
random,a_ambiguity_margin,0.7,donor_ridge,0.9900793650793651
random,a_ambiguity_margin,0.7,xgboost,0.00496031746031746
oracle,a_ambiguity_margin,0.7,seasonal_ridge,0.002976190476190476
oracle,a_ambiguity_margin,0.7,donor_ridge,0.44642857142857145
oracle,a_ambiguity_margin,0.7,xgboost,0.5505952380952381
proposed,a_ambiguity_margin,0.9,seasonal_ridge,0.0015432098765432098
proposed,a_ambiguity_margin,0.9,donor_ridge,0.5972222222222222
proposed,a_ambiguity_margin,0.9,xgboost,0.4012345679012346
