method,regret_no_abstention,regret_at_50,regret_at_70,regret_at_85pct_point,min_regret_any_c,min_c,min_criterion,oracle_headroom
proposed,0.08495302069947079,0.09474867928208132,0.08256876526119873,0.006720237495858094,0.013920863652202473,0.1,c_support_completeness,0.013920863652202473
best_fixed,0.08149852237862493,0.08583082782487804,0.07918445792005448,0.15079234513014156,0.024384053290037327,0.2,b_mean_width,0.024384053290037327
global_cv,0.08149852237862493,0.08583082782487804,0.07918445792005448,0.15079234513014156,0.024384053290037327,0.2,b_mean_width,0.024384053290037327
per_net_cv,0.03829553216443614,0.043665431968627606,0.038990005009028654,0.16359053456298875,0.01703383919505386,0.2,b_mean_width,0.01703383919505386
gap_rule,0.09267099541749861,0.10076367673624038,0.09092067193006055,0.14474471547936235,0.05534658826868784,0.2,b_mean_width,0.05534658826868784
random,0.26283744015123356,0.30435737272778224,0.26107847653994215,0.3508615068859447,0.14560158921557642,0.1,b_mean_width,0.14560158921557642
oracle,0.0,0.0,0.0,0.0,0.0,0.1,a_ambiguity_margin,0.0
