criterion,c,method,released_units,released_networks,unit_coverage,network_coverage,network_balanced_regret,pooled_regret,selection_accuracy,top2_hit,top2_hit_pen_t09,abstention_cost_units,abstention_cost_networks,note
a_ambiguity_margin,0.1,proposed,144,33,0.1,0.7857142857142857,0.22559445370373088,0.3014001103656148,0.5625,0.9930555555555556,0.8888888888888888,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,best_fixed,144,33,0.1,0.7857142857142857,0.16511103059269286,0.26602525002393335,0.6458333333333334,0.9791666666666666,,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,global_cv,144,33,0.1,0.7857142857142857,0.16511103059269286,0.26602525002393335,0.6458333333333334,0.9791666666666666,,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,per_net_cv,144,33,0.1,0.7857142857142857,0.08999332577818919,0.0978188820498176,0.7291666666666666,0.9930555555555556,,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,gap_rule,144,33,0.1,0.7857142857142857,0.16511103059269286,0.26602525002393335,0.6458333333333334,0.9791666666666666,,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,random,144,33,0.1,0.7857142857142857,0.7686592262172011,0.8413421660778173,0.3524305555555556,0.6666666666666666,,0.9,0.2142857142857143,
a_ambiguity_margin,0.1,oracle,144,33,0.1,0.7857142857142857,0.0,0.0,1.0,1.0,,0.9,0.2142857142857143,
a_ambiguity_margin,0.2,proposed,288,42,0.2,1.0,0.159415845146367,0.20697662682747353,0.5555555555555556,0.9965277777777778,0.8680555555555556,0.8,0.0,
a_ambiguity_margin,0.2,best_fixed,288,42,0.2,1.0,0.19743313287982814,0.22113393869970793,0.6076388888888888,0.9618055555555556,,0.8,0.0,
a_ambiguity_margin,0.2,global_cv,288,42,0.2,1.0,0.19743313287982814,0.22113393869970793,0.6076388888888888,0.9618055555555556,,0.8,0.0,
a_ambiguity_margin,0.2,per_net_cv,288,42,0.2,1.0,0.09443602560243698,0.08440195863113964,0.7256944444444444,0.9895833333333334,,0.8,0.0,
a_ambiguity_margin,0.2,gap_rule,288,42,0.2,1.0,0.1981691449785221,0.22177963845582552,0.5520833333333334,0.9791666666666666,,0.8,0.0,
a_ambiguity_margin,0.2,random,288,42,0.2,1.0,0.579079879615068,0.639065696857201,0.3432291666666667,0.6723958333333335,,0.8,0.0,
a_ambiguity_margin,0.2,oracle,288,42,0.2,1.0,0.0,0.0,1.0,1.0,,0.8,0.0,
a_ambiguity_margin,0.3,proposed,432,42,0.3,1.0,0.13903991881943173,0.16640623580975525,0.5347222222222222,0.9953703703703703,0.8125,0.7,0.0,
a_ambiguity_margin,0.3,best_fixed,432,42,0.3,1.0,0.14976718308976736,0.17375714255584424,0.6134259259259259,0.9629629629629629,,0.7,0.0,
a_ambiguity_margin,0.3,global_cv,432,42,0.3,1.0,0.14976718308976736,0.17375714255584424,0.6134259259259259,0.9629629629629629,,0.7,0.0,
a_ambiguity_margin,0.3,per_net_cv,432,42,0.3,1.0,0.07740947235949484,0.06830695553330536,0.7268518518518519,0.9884259259259259,,0.7,0.0,
