station_id,station_name,official_abbreviation,latitude,longitude,river_name,network_order,river_distance_from_B1_km,upstream_station_ids,downstream_station_ids,drainage_area_km2,elevation_m,regulated_or_unregulated,hydrology_source,met_station_id,met_station_name,met_latitude,met_longitude,met_elevation_m,hydro_met_pairing_distance_km,hydro_met_pairing_method,variable_units,quality_flags_available,data_period,notes
B1,Batang,BT,29.850000,99.083333,Jinsha River,1,0.0,,S2,187507,,largely_unregulated_in_study_period,"China Hydrological Yearbook Vol. VI",56247099999,Batang,30.000000,99.100000,2589,16.756,haversine_from_documented_coordinates,"T:degC;F:m3/s;L:m;Ta:degC;P:mm/day;W:m/s;RH:percent;DH:h",no,2006-01-01/2020-12-31,"Hydrological station moved about 3 km in 2005; current series begins 2006"
S2,Shigu,SG,26.906667,99.947778,Jinsha River,2,463.1,B1,P3,214184,,largely_unregulated_in_study_period,"China Hydrological Yearbook Vol. VI",56651099999,Lijiang,26.833333,100.216667,2382,27.890,haversine_from_documented_coordinates,"T:degC;F:m3/s;L:m;Ta:degC;P:mm/day;W:m/s;RH:percent;DH:h",no,2006-01-01/2020-12-31,"External monthly reconciliation identifies a 2013-2019 ordering discrepancy that must be reported"
P3,Panzhihua,PZH,26.638611,101.744722,Jinsha River,3,1021.1,S2,,259177,,regulated_after_cascade_impoundment,"China Hydrological Yearbook Vol. VI",56671099999,Huili,26.650000,102.250000,1788,50.234,haversine_from_documented_coordinates,"T:degC;F:m3/s;L:m;Ta:degC;P:mm/day;W:m/s;RH:percent;DH:h",no,2006-01-01/2020-12-31,"Panzhihua is downstream of the middle-Jinsha cascade and upstream of the Yalong confluence"
