dam_id,dam_name,river_name,latitude,longitude,coordinate_source,scientific_distance_context
guanyinyan,Guanyinyan Dam,Jinsha River,26.520147,101.437943,RCC Dam database cartographic coordinate,27 river km upstream of P3 from MEE project description
buford,Buford Dam,Chattahoochee River,34.160326,-84.073875,USACE National Inventory of Dams coordinate,0.366 km upstream of USGS 02334430 from USGS station description
