network_id,station_id,gap_length,placement,gap_start,season,model_family,mae_deg_c
foen_aare_aaregebiet,2457,90,6,2021-01-18,DJF,pchip_record,0.458307130572114
foen_aare_aaregebiet,2457,90,7,2021-05-23,MAM,linear_boundary,1.3437191697191695
foen_aare_aaregebiet,2457,90,7,2021-05-23,MAM,pchip_record,1.5602194378699967
foen_aare_aaregebiet,2457,90,8,2021-09-25,SON,linear_boundary,1.0408363858363856
foen_aare_aaregebiet,2457,90,8,2021-09-25,SON,pchip_record,1.8790881186854944
foen_aare_aaregebiet,2457,90,9,2022-01-28,DJF,linear_boundary,1.6718278388278387
foen_aare_aaregebiet,2457,90,9,2022-01-28,DJF,pchip_record,1.2036089596709654
foen_aare_aaregebiet,2457,90,10,2022-06-01,JJA,linear_boundary,1.1806153846153846
foen_aare_aaregebiet,2457,90,10,2022-06-01,JJA,pchip_record,1.2629393197814225
foen_aare_aaregebiet,2457,90,11,2022-10-04,SON,linear_boundary,0.5970476190476193
foen_aare_aaregebiet,2457,90,11,2022-10-04,SON,pchip_record,0.64546644989831
foen_aare_aaregebiet,2457,90,12,2023-02-06,DJF,linear_boundary,1.6876202686202684
foen_aare_aaregebiet,2457,90,12,2023-02-06,DJF,pchip_record,1.230947461525452
foen_aare_aaregebiet,2457,90,13,2023-06-11,JJA,linear_boundary,1.4735787545787544
foen_aare_aaregebiet,2457,90,13,2023-06-11,JJA,pchip_record,1.4563148651813005
foen_aare_aaregebiet,2457,90,14,2024-01-17,DJF,linear_boundary,0.4150305250305249
foen_aare_aaregebiet,2457,90,14,2024-01-17,DJF,pchip_record,0.3996195764897481
foen_aare_aaregebiet,2457,90,15,2024-05-20,MAM,linear_boundary,1.2065518925518928
foen_aare_aaregebiet,2457,90,15,2024-05-20,MAM,pchip_record,1.2065518925518923
foen_aare_aaregebiet,2457,90,16,2024-09-22,SON,linear_boundary,0.5100427350427352
foen_aare_aaregebiet,2457,90,16,2024-09-22,SON,pchip_record,0.5100427350427352
foen_aare_aaregebiet,2457,90,17,2025-01-25,DJF,linear_boundary,1.3336617826617827
foen_aare_aaregebiet,2457,90,17,2025-01-25,DJF,pchip_record,1.333661782661783
foen_aare_aaregebiet,2457,90,18,2025-05-30,MAM,linear_boundary,3.0237313797313794
foen_aare_aaregebiet,2457,90,18,2025-05-30,MAM,pchip_record,3.0237313797313794
foen_aare_aaregebiet,2457,90,19,2025-10-02,SON,linear_boundary,0.3814761904761904
foen_aare_aaregebiet,2457,90,19,2025-10-02,SON,pchip_record,0.3814761904761904
foen_aare_aaregebiet,2457,180,0,2019-01-01,DJF,linear_boundary,2.433537446286065
foen_aare_aaregebiet,2457,180,0,2019-01-01,DJF,pchip_record,1.2122604760175
foen_aare_aaregebiet,2457,180,1,2019-04-26,MAM,linear_boundary,3.382980969920196
foen_aare_aaregebiet,2457,180,1,2019-04-26,MAM,pchip_record,3.856341921927569
foen_aare_aaregebiet,2457,180,2,2019-08-19,JJA,linear_boundary,1.074560466543892
foen_aare_aaregebiet,2457,180,2,2019-08-19,JJA,pchip_record,2.305505486834828
foen_aare_aaregebiet,2457,180,3,2019-12-12,DJF,linear_boundary,2.381374462860651
foen_aare_aaregebiet,2457,180,3,2019-12-12,DJF,pchip_record,2.055768322853074
foen_aare_aaregebiet,2457,180,4,2020-04-06,MAM,linear_boundary,4.435097298956415
foen_aare_aaregebiet,2457,180,4,2020-04-06,MAM,pchip_record,4.828128007326211
foen_aare_aaregebiet,2457,180,5,2020-07-30,JJA,linear_boundary,0.8659174340085943
foen_aare_aaregebiet,2457,180,5,2020-07-30,JJA,pchip_record,1.4367666010494209
foen_aare_aaregebiet,2457,180,6,2020-11-22,SON,linear_boundary,2.5274063842848378
foen_aare_aaregebiet,2457,180,6,2020-11-22,SON,pchip_record,2.529956492456752
foen_aare_aaregebiet,2457,180,7,2021-03-18,MAM,linear_boundary,1.2076347452424796
foen_aare_aaregebiet,2457,180,7,2021-03-18,MAM,pchip_record,1.9481657087761763
foen_aare_aaregebiet,2457,180,8,2021-07-11,JJA,linear_boundary,2.7643271945979127
foen_aare_aaregebiet,2457,180,8,2021-07-11,JJA,pchip_record,2.1731362302020973
foen_aare_aaregebiet,2457,180,9,2021-11-03,SON,linear_boundary,3.35871270718232
foen_aare_aaregebiet,2457,180,9,2021-11-03,SON,pchip_record,3.413515152619238
foen_aare_aaregebiet,2457,180,10,2022-02-27,DJF,linear_boundary,2.00483824432167
foen_aare_aaregebiet,2457,180,10,2022-02-27,DJF,pchip_record,2.665082268175088
foen_aare_aaregebiet,2457,180,11,2022-06-22,JJA,linear_boundary,1.5604020871700433
foen_aare_aaregebiet,2457,180,11,2022-06-22,JJA,pchip_record,1.099385731328362
foen_aare_aaregebiet,2457,180,12,2022-10-15,SON,linear_boundary,2.6158741559238803
foen_aare_aaregebiet,2457,180,12,2022-10-15,SON,pchip_record,3.2950609269353315
foen_aare_aaregebiet,2457,180,13,2023-02-08,DJF,linear_boundary,1.6600675260896258
